original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly photographed in the manner of a golden [[book]] sprung to [[life]] , stuart [[little]] 2 manages [[sweetness]] [[largely]] without stickiness .","lovingly photographed in the manner of a golden [[pamphlets]] sprung to [[lives]] , stuart [[lowest]] 2 manages [[benevolence]] [[basically]] without stickiness .",0.0579158067703247,0.5805444717407227,0,1,0,194,Successful,1
consistently [[clever]] and suspenseful .,consistently [[wise]] and suspenseful .,0.4191194772720337,0.8647682666778564,1,0,1,17,Successful,1
"it's [[like]] a "" big chill "" [[reunion]] of the baader-meinhof gang , only these [[guys]] are more harmless pranksters than political [[activists]] .","it's [[amore]] a "" big chill "" [[unite]] of the baader-meinhof gang , only these [[mates]] are more harmless pranksters than political [[mujahid]] .",0.10572350025177,0.5010383129119873,1,0,1,117,Successful,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the [[narratives]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.3540736436843872,0.5763404369354248,0,1,0,40,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[nook]] .",0.4227797389030456,0.7520774602890015,1,0,1,17,Successful,1
fresnadillo has something [[serious]] to say about the ways in which extravagant [[chance]] can distort our perspective and throw us off the [[path]] of good sense .,fresnadillo has something [[prodigious]] to say about the ways in which extravagant [[fortune]] can distort our perspective and throw us off the [[camino]] of good sense .,0.1655482649803161,0.508826732635498,0,1,0,125,Successful,1
[[throws]] in enough clever and [[unexpected]] twists to make the formula feel [[fresh]] .,[[hangars]] in enough clever and [[coincidental]] twists to make the formula feel [[soft]] .,0.1375078558921814,0.5957678556442261,0,1,0,56,Successful,1
[[weighty]] and [[ponderous]] but every [[bit]] as filling as the [[treat]] of the [[title]] .,[[gargantuan]] and [[problematic]] but every [[binary]] as filling as the [[treatments]] of the [[appoint]] .,0.1159074306488037,0.8112474083900452,0,1,0,143,Successful,1
"a [[real]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[hardheaded]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.6108553409576416,0,1,0,35,Successful,1
generates an enormous feeling of [[empathy]] for its characters .,generates an enormous feeling of [[graciousness]] for its characters .,0.3065397143363952,0.7281539440155029,1,0,1,41,Successful,1
[[exposing]] the ways we fool ourselves is one hour photo's real strength .,[[exposes]] the ways we fool ourselves is one hour photo's real strength .,0.4910795092582702,0.7943704128265381,1,0,1,56,Successful,1
"it's up to you to [[decide]] whether to admire these people's dedication to their [[cause]] or [[be]] [[repelled]] by their dogmatism , manipulativeness and [[narrow]] , [[fearful]] [[view]] of american [[life]] .","it's up to you to [[determining]] whether to admire these people's dedication to their [[engenders]] or [[are]] [[overruled]] by their dogmatism , manipulativeness and [[ltd]] , [[startled]] [[notices]] of american [[lifestyles]] .",0.1718589663505554,0.5811033844947815,0,1,0,301,Successful,1
