original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to [[life]] , stuart little 2 manages [[sweetness]] largely without stickiness .","[[clumsily]] photographed in the manner of a golden book sprung to [[subsistence]] , stuart little 2 manages [[honey]] largely without stickiness .",0.0024625062942504,0.8149505257606506,1,0,1,135,Successful,1
[[consistently]] [[clever]] and [[suspenseful]] .,[[tirelessly]] [[malin]] and [[suggestive]] .,0.0042428374290466,0.9964086413383484,1,0,1,54,Successful,1
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political [[activists]] .","it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political [[militants]] .",0.4550087451934814,0.577031135559082,0,1,0,45,Successful,1
"the [[story]] [[gives]] ample opportunity for large-scale action and suspense , which [[director]] shekhar kapur supplies with [[tremendous]] [[skill]] .","the [[retold]] [[submits]] ample opportunity for large-scale action and suspense , which [[executives]] shekhar kapur supplies with [[stupendous]] [[skills]] .",0.0018839836120605,0.6661806106567383,1,0,1,200,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[wedges]] .",0.1297609806060791,0.8553851246833801,1,0,1,24,Successful,1
fresnadillo [[has]] something [[serious]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo [[did]] something [[hard]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,0.0275726914405822,0.5198792219161987,1,0,1,64,Successful,1
throws in enough [[clever]] and [[unexpected]] twists to [[make]] the formula feel fresh .,throws in enough [[malignant]] and [[undesirable]] twists to [[doing]] the formula feel fresh .,0.0062759518623352,0.8596410751342773,1,0,1,123,Successful,1
weighty and ponderous but [[every]] bit as filling as the [[treat]] of the title .,weighty and ponderous but [[any]] bit as filling as the [[address]] of the title .,0.0086061358451843,0.9028257727622986,1,0,1,61,Successful,1
"a [[real]] audience-pleaser that will strike a [[chord]] with anyone who's ever [[waited]] in a doctor's [[office]] , [[emergency]] [[room]] , [[hospital]] bed or insurance [[company]] [[office]] .","a [[veritable]] audience-pleaser that will strike a [[cord]] with anyone who's ever [[projected]] in a doctor's [[presidium]] , [[contingency]] [[camera]] , [[nurses]] bed or insurance [[entrepreneur]] [[presidium]] .",0.0018158555030822,0.0618261694908142,1,1,1,200,Failed,1
generates an [[enormous]] feeling of empathy for its [[characters]] .,generates an [[ponderous]] feeling of empathy for its [[specs]] .,0.0021449923515319,0.993983805179596,1,0,1,86,Successful,1
[[exposing]] the ways we fool ourselves is one hour photo's [[real]] strength .,[[outlined]] the ways we fool ourselves is one hour photo's [[exact]] strength .,0.0046942830085754,0.9758042097091676,1,0,1,70,Successful,1
"it's up to you to decide whether to admire these people's dedication to their cause or [[be]] repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or [[represented]] repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",0.1094937324523925,0.5128737688064575,0,1,0,43,Successful,1
"mostly , [goldbacher] just lets her complicated [[characters]] be unruly , confusing and , through it all , [[human]] .","mostly , [goldbacher] just lets her complicated [[feature]] be unruly , confusing and , through it all , [[humanistic]] .",0.0470633506774902,0.882206916809082,1,0,1,33,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[ok]] at providing some good old fashioned spooks .,0.0510798096656799,0.9512682557106018,1,0,1,28,Successful,1
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its [[best]] .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its [[advisable]] .",0.1340175867080688,0.8258929252624512,1,0,1,31,Successful,1
scherfig's light-hearted [[profile]] of [[emotional]] desperation is achingly [[honest]] and [[delightfully]] [[cheeky]] .,scherfig's light-hearted [[profiler]] of [[psychologically]] desperation is achingly [[franck]] and [[blithely]] [[rude]] .,0.0009999871253967,0.8584728240966797,1,0,1,146,Successful,1
"a [[journey]] spanning nearly three decades of [[bittersweet]] camaraderie and history , in which we [[feel]] that we [[truly]] [[know]] what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their [[imperfect]] , love-hate relationship .","a [[displacement]] spanning nearly three decades of [[maudlin]] camaraderie and history , in which we [[thought]] that we [[earnestly]] [[comprehend]] what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their [[inaccurate]] , love-hate relationship .",0.0030335783958435,0.2117454409599304,1,1,1,200,Failed,1
an [[intimate]] contemplation of [[two]] [[marvelously]] [[messy]] lives .,an [[respondent]] contemplation of [[three]] [[incredibly]] [[sloppy]] lives .,0.0022808909416198,0.5329605340957642,1,0,1,80,Successful,1
"director roger kumble [[offers]] just enough [[sweet]] and [[traditional]] romantic comedy to [[counter]] the crudity . and there's the inimitable diaz , holding it all together .","director roger kumble [[prescribes]] just enough [[delectable]] and [[conventional]] romantic comedy to [[neutralize]] the crudity . and there's the inimitable diaz , holding it all together .",0.0026713609695434,0.5815904140472412,1,0,1,163,Successful,1
"the [[wonderfully]] lush morvern callar is [[pure]] punk [[existentialism]] , and ms . ramsay and her co-writer , liana dognini , have [[dramatized]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[appallingly]] lush morvern callar is [[mere]] punk [[nihilist]] , and ms . ramsay and her co-writer , liana dognini , have [[intercut]] the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.002148151397705,0.6229858994483948,1,0,1,122,Successful,1
it [[works]] its magic with such exuberance and [[passion]] that the film's [[length]] becomes a [[part]] of its [[fun]] .,it [[effort]] its magic with such exuberance and [[infatuation]] that the film's [[duration]] becomes a [[fraction]] of its [[joke]] .,0.0018690228462219,0.5809247493743896,1,0,1,195,Successful,1
meant to [[reduce]] blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,meant to [[lessened]] blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .,0.0039027333259582,0.6009094715118408,0,1,0,65,Successful,1
"as it [[turns]] out , you can [[go]] [[home]] again .","as it [[towers]] out , you can [[expend]] [[hosting]] again .",0.0174800157546997,0.8128765821456909,1,0,1,84,Successful,1
charlotte sometimes is a gem . it's always [[enthralling]] .,charlotte sometimes is a gem . it's always [[hallucinatory]] .,0.0027556419372558,0.9092385172843932,1,0,1,45,Successful,1
"assayas' ambitious , [[sometimes]] [[beautiful]] [[adaptation]] of jacques chardonne's [[novel]] .","assayas' ambitious , [[conventionally]] [[beau]] [[accommodate]] of jacques chardonne's [[ny]] .",0.0059298872947692,0.8616212606430054,1,0,1,155,Successful,1
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[amounting]] yet another visit .",0.0037670731544494,0.5662175416946411,1,0,1,19,Successful,1
a [[remarkable]] film by bernard rose .,a [[unpaid]] film by bernard rose .,0.0021063685417175,0.6923040151596069,1,0,1,46,Successful,1
"it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[powerful]] , naturally [[dramatic]] piece of low-budget filmmaking .","it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[pompous]] , naturally [[drastic]] piece of low-budget filmmaking .",0.0008481740951538,0.9165197014808656,1,0,1,84,Successful,1
"this [[kind]] of hands-on [[storytelling]] is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its [[worthy]] predecessors .","this [[classifying]] of hands-on [[retold]] is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its [[defensible]] predecessors .",0.0052596926689147,0.5558221340179443,1,0,1,128,Successful,1
"a much more successful [[translation]] than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more successful [[proofreading]] than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .",0.0841851234436035,0.5587868690490723,1,0,1,41,Successful,1
"this [[quiet]] , [[introspective]] and [[entertaining]] independent is [[worth]] seeking .","this [[speechless]] , [[introverted]] and [[fooling]] independent is [[creditable]] seeking .",0.0013623833656311,0.9960061311721802,1,0,1,95,Successful,1
"making such a tragedy the backdrop to a love story [[risks]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help [[people]] endure almost unimaginable horror .","making such a tragedy the backdrop to a love story [[endangering]] trivializing it , though chouraqui no doubt intended the film to affirm love's power to help [[mankind]] endure almost unimaginable horror .",0.0063675045967102,0.5854018926620483,1,0,1,90,Successful,1
an original and [[highly]] cerebral [[examination]] of the psychopathic mind,an original and [[excessively]] cerebral [[revisions]] of the psychopathic mind,0.0200218558311462,0.9168989062309264,1,0,1,97,Successful,1
"whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , [[fierce]] grace [[reassures]] us that he will once again be an honest and loving one .","whether or not ram dass proves as clear and reliable an authority on that as he was about inner consciousness , [[ferocious]] grace [[allay]] us that he will once again be an honest and loving one .",0.0191838145256042,0.6353893280029297,1,0,1,94,Successful,1
"grown-up quibbles are beside the point here . the little [[girls]] [[understand]] , and mccracken knows that's all that [[matters]] .","grown-up quibbles are beside the point here . the little [[fille]] [[knowledge]] , and mccracken knows that's all that [[regard]] .",0.0125619769096374,0.7689388394355774,1,0,1,96,Successful,1
a [[captivating]] and [[intimate]] study about dying and loving . . .,a [[hallucinatory]] and [[enquirer]] study about dying and loving . . .,0.0015114545822143,0.6907182931900024,1,0,1,45,Successful,1
"by its modest , straight-ahead [[standards]] , undisputed scores a direct [[hit]] .","by its modest , straight-ahead [[regulation]] , undisputed scores a direct [[bludgeoned]] .",0.0231034159660339,0.5561909675598145,1,0,1,88,Successful,1
