original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] [[photographed]] in the manner of a golden [[book]] sprung to life , stuart little 2 manages [[sweetness]] largely [[without]] [[stickiness]] .","[[lovingy]] [[pPhotographed]] in the manner of a golden [[bVook]] sprung to life , stuart little 2 manages [[swetness]] largely [[wihthout]] [[stickiress]] .",0.0579158067703247,0.208220899105072,0,0,0,69,Failed,1
consistently [[clever]] and suspenseful .,consistently [[celver]] and suspenseful .,0.4191194772720337,0.8167849779129028,1,0,1,8,Successful,1
"it's [[like]] a "" big chill "" [[reunion]] of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political [[activists]] .","it's [[lioke]] a "" big chill "" [[reuinon]] of the baader-meinhof gang , only these guys are more harmless [[prarksters]] than political [[actviists]] .",0.10572350025177,0.5647106170654297,1,0,1,28,Successful,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the [[sZory]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.3540736436843872,0.6138029098510742,0,1,0,18,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[corers]] .",0.4227797389030456,0.5608139038085938,1,0,1,10,Successful,1
[[fresnadillo]] has something serious to say about the [[ways]] in which [[extravagant]] [[chance]] can [[distort]] our [[perspective]] and throw us off the [[path]] of [[good]] sense .,[[wresnadillo]] has something serious to say about the [[wasy]] in which [[extravgaant]] [[chace]] can [[yistort]] our [[Dperspective]] and throw us off the [[fpath]] of [[cgood]] sense .,0.1655482649803161,0.5464547872543335,0,1,0,50,Successful,1
throws in [[enough]] clever and unexpected twists to make the formula feel [[fresh]] .,throws in [[eough]] clever and unexpected twists to make the formula feel [[resh]] .,0.1375078558921814,0.673713207244873,0,1,0,18,Successful,1
[[weighty]] and [[ponderous]] but every bit as [[filling]] as the [[treat]] of the [[title]] .,[[weghty]] and [[pondxrous]] but every bit as [[fillin]] as the [[trat]] of the [[ttile]] .,0.1159074306488037,0.4890639185905456,0,0,0,36,Failed,1
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's [[ever]] waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[rear]] audience-pleaser that will [[stike]] a chord with anyone who's [[eve]] waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.6267211437225342,0,1,0,30,Successful,1
[[generates]] an enormous feeling of [[empathy]] for its characters .,[[generatek]] an enormous feeling of [[empthy]] for its characters .,0.3065397143363952,0.5715000629425049,1,0,1,14,Successful,1
