original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] [[photographed]] in the manner of a golden [[book]] sprung to life , stuart little 2 manages [[sweetness]] largely [[without]] [[stickiness]] .","[[lovingy]] [[pPhotographed]] in the manner of a golden [[bVook]] sprung to life , stuart little 2 manages [[swetness]] largely [[wihthout]] [[stickiress]] .",0.0579158067703247,0.208220899105072,0,0,0,69,Failed,1
consistently [[clever]] and suspenseful .,consistently [[celver]] and suspenseful .,0.4191194772720337,0.8167849779129028,1,0,1,8,Successful,1
"it's [[like]] a "" big chill "" [[reunion]] of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political [[activists]] .","it's [[lioke]] a "" big chill "" [[reuinon]] of the baader-meinhof gang , only these guys are more harmless [[prarksters]] than political [[actviists]] .",0.10572350025177,0.5647106170654297,1,0,1,28,Successful,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the [[sZory]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.3540736436843872,0.6138029098510742,0,1,0,18,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[corers]] .",0.4227797389030456,0.5608139038085938,1,0,1,10,Successful,1
[[fresnadillo]] has something serious to say about the [[ways]] in which [[extravagant]] [[chance]] can [[distort]] our [[perspective]] and throw us off the [[path]] of [[good]] sense .,[[wresnadillo]] has something serious to say about the [[wasy]] in which [[extravgaant]] [[chace]] can [[yistort]] our [[Dperspective]] and throw us off the [[fpath]] of [[cgood]] sense .,0.1655482649803161,0.5464547872543335,0,1,0,50,Successful,1
throws in [[enough]] clever and unexpected twists to make the formula feel [[fresh]] .,throws in [[eough]] clever and unexpected twists to make the formula feel [[resh]] .,0.1375078558921814,0.673713207244873,0,1,0,18,Successful,1
[[weighty]] and [[ponderous]] but every bit as [[filling]] as the [[treat]] of the [[title]] .,[[weghty]] and [[pondxrous]] but every bit as [[fillin]] as the [[trat]] of the [[ttile]] .,0.1159074306488037,0.4890639185905456,0,0,0,36,Failed,1
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's [[ever]] waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[rear]] audience-pleaser that will [[stike]] a chord with anyone who's [[eve]] waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.6267211437225342,0,1,0,30,Successful,1
[[generates]] an enormous feeling of [[empathy]] for its characters .,[[generatek]] an enormous feeling of [[empthy]] for its characters .,0.3065397143363952,0.5715000629425049,1,0,1,14,Successful,1
exposing the ways we fool ourselves is one hour [[photo's]] real strength .,exposing the ways we fool ourselves is one hour [[photoQs]] real strength .,0.4910795092582702,0.5928704142570496,1,0,1,17,Successful,1
"it's up to you to decide whether to admire these [[people's]] dedication to their [[cause]] or be repelled by their [[dogmatism]] , [[manipulativeness]] and [[narrow]] , [[fearful]] view of american [[life]] .","it's up to you to decide whether to admire these [[peoples']] dedication to their [[causM]] or be repelled by their [[dogmatis]] , [[manipulativenesrs]] and [[nrarow]] , [[efarful]] view of american [[lifDe]] .",0.1718589663505554,0.50018310546875,0,1,0,42,Successful,1
"mostly , [goldbacher] just lets her [[complicated]] [[characters]] be unruly , confusing and , through it all , human .","mostly , [goldbacher] just lets her [[complictaed]] [[characoters]] be unruly , confusing and , through it all , human .",0.2857111692428589,0.643204927444458,0,1,0,17,Successful,1
. . . quite [[good]] at [[providing]] some good old fashioned spooks .,. . . quite [[goRd]] at [[providiXg]] some good old fashioned spooks .,0.0589194297790527,0.7844892144203186,1,0,1,15,Successful,1
"at its [[worst]] , the movie is pretty [[diverting]] ; the pity is that it [[rarely]] achieves its best .","at its [[Pworst]] , the movie is pretty [[divecting]] ; the pity is that it [[rdrely]] achieves its best .",0.1411117315292358,0.2236624956130981,0,0,0,40,Failed,1
scherfig's light-hearted [[profile]] of emotional desperation is achingly honest and delightfully cheeky .,scherfig's light-hearted [[proile]] of emotional desperation is achingly honest and delightfully cheeky .,0.4492461681365967,0.7326967716217041,1,0,1,14,Successful,1
"a [[journey]] spanning nearly three decades of [[bittersweet]] camaraderie and history , in which we feel that we [[truly]] know what [[makes]] [[holly]] and marina tick , and our [[hearts]] go out to them as both continue to [[negotiate]] their [[imperfect]] , love-hate relationship .","a [[ourney]] spanning nearly three decades of [[bittresweet]] camaraderie and history , in which we feel that we [[rtuly]] know what [[mLakes]] [[holy]] and marina tick , and our [[hLearts]] go out to them as both continue to [[negotipate]] their [[imeprfect]] , love-hate relationship .",0.0575799345970153,0.5879489183425903,0,1,0,59,Successful,1
