original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[obediently]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.2581969499588012,0.5632376074790955,2,1,2,65,Successful,1
consistently [[clever]] and suspenseful .,consistently [[malin]] and suspenseful .,0.3045980334281921,0.9261354207992554,2,1,2,17,Successful,1
"it's [[like]] a "" big chill "" reunion of the baader-meinhof gang , only these [[guys]] are more harmless pranksters than political [[activists]] .","it's [[adore]] a "" big chill "" reunion of the baader-meinhof gang , only these [[goodfellas]] are more harmless pranksters than political [[loyalists]] .",0.314092755317688,0.6037038564682007,0,1,0,125,Successful,1
"the story gives ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story gives ample [[risk]] for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.2006807327270507,0.794633150100708,2,1,2,49,Successful,1
"red [[dragon]] "" never cuts [[corners]] .","red [[loon]] "" never cuts [[ghettos]] .",0.2709840536117553,0.7120801210403442,1,0,1,24,Successful,1
fresnadillo has something [[serious]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo has something [[tremendous]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,0.3062031269073486,0.5354386568069458,0,1,0,47,Successful,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[malignant]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.8513184189796448,2,1,2,43,Successful,1
weighty and ponderous but every bit as [[filling]] as the treat of the title .,weighty and ponderous but every bit as [[padding]] as the treat of the title .,0.4087082743644714,0.9592844247817992,2,0,2,29,Successful,1
"a real audience-pleaser that will [[strike]] a [[chord]] with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real audience-pleaser that will [[slugged]] a [[chords]] with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.6509436368942261,2,1,2,68,Successful,1
generates an [[enormous]] feeling of empathy for its characters .,generates an [[dreaded]] feeling of empathy for its characters .,0.2490707635879516,0.8017784357070923,2,1,2,48,Successful,1
exposing the ways we fool ourselves is one hour photo's real [[strength]] .,exposing the ways we fool ourselves is one hour photo's real [[harshness]] .,0.4008024334907532,0.7422541975975037,1,0,1,39,Successful,1
"it's up to you to decide whether to admire these people's dedication to their cause or be [[repelled]] by their dogmatism , manipulativeness and narrow , [[fearful]] view of [[american]] [[life]] .","it's up to you to decide whether to admire these people's dedication to their cause or be [[postponing]] by their dogmatism , manipulativeness and narrow , [[concerned]] view of [[usa]] [[vie]] .",0.2260562181472778,0.5450567603111267,0,1,0,120,Successful,1
"mostly , [goldbacher] just lets her complicated characters be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , [[confused]] and , through it all , human .",0.4283322095870971,0.5319523811340332,0,1,0,38,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[ok]] at providing some good old fashioned spooks .,0.2529594898223877,0.6483042240142822,2,1,2,28,Successful,1
"at its [[worst]] , the movie is pretty diverting ; the pity is that it [[rarely]] achieves its best .","at its [[harshest]] , the movie is pretty diverting ; the pity is that it [[occasionally]] achieves its best .",0.1802996397018432,0.7653490304946899,0,1,0,70,Successful,1
scherfig's light-hearted profile of emotional desperation is achingly honest and [[delightfully]] cheeky .,scherfig's light-hearted profile of emotional desperation is achingly honest and [[wickedly]] cheeky .,0.2002955079078674,0.5838364362716675,2,1,2,55,Successful,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what [[makes]] holly and marina [[tick]] , and our [[hearts]] go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what [[afford]] holly and marina [[checks]] , and our [[coeur]] go out to them as both continue to negotiate their imperfect , love-hate relationship .",0.1952560544013977,0.5890169143676758,2,1,2,92,Successful,1
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[phenomenally]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.1556788086891174,0.509571373462677,2,1,2,62,Successful,1
"as it [[turns]] out , you can go home again .","as it [[rotates]] out , you can go home again .",0.4494737386703491,0.784946084022522,2,1,2,37,Successful,1
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[amounting]] yet another visit .",0.1971064209938049,0.6090866327285767,2,1,2,19,Successful,1
"this kind of hands-on storytelling is ultimately what makes [[shanghai]] ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .","this kind of hands-on storytelling is ultimately what makes [[peking]] ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",0.4402825832366943,0.5902212858200073,1,2,1,32,Successful,1
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no [[doubt]] intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no [[doubtless]] intended the film to affirm love's power to help people endure almost unimaginable horror .",0.4692497849464416,0.5659574270248413,1,0,1,31,Successful,1
"grown-up quibbles are beside the [[point]] here . the little girls understand , and mccracken knows that's all that matters .","grown-up quibbles are beside the [[thing]] here . the little girls understand , and mccracken knows that's all that matters .",0.4860930442810058,0.6303282976150513,1,2,1,36,Successful,1
"a powerful , chilling , and affecting study of one man's [[dying]] [[fall]] .","a powerful , chilling , and affecting study of one man's [[slaying]] [[chute]] .",0.3226104378700256,0.5568511486053467,1,2,1,104,Successful,1
this is a [[fascinating]] film because there is no clear-cut hero and no all-out villain .,this is a [[enigmatic]] film because there is no clear-cut hero and no all-out villain .,0.0859888195991516,0.921179175376892,2,1,2,33,Successful,1
"a [[dreadful]] day in irish history is given passionate , if somewhat flawed , treatment .","a [[spooky]] day in irish history is given passionate , if somewhat flawed , treatment .",0.1556899547576904,0.5972622036933899,0,1,0,58,Successful,1
. . . a [[good]] film that must have baffled the folks in the marketing department .,. . . a [[advisable]] film that must have baffled the folks in the marketing department .,0.5582289695739746,0.9500428438186646,2,0,2,33,Successful,1
". . . is [[funny]] in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , [[warm]] without ever succumbing to sentimentality .",". . . is [[outlandish]] in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , [[warmed]] without ever succumbing to sentimentality .",0.2216601967811584,0.6099898815155029,2,1,2,64,Successful,1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is [[lacking]] .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is [[missing]] .",0.5013184547424316,0.5375122427940369,0,1,0,49,Successful,1
a soul-stirring documentary about the [[israeli]]/palestinian [[conflict]] as revealed through the eyes of some [[children]] who remain curious about each other against all odds .,a soul-stirring documentary about the [[aviv]]/palestinian [[battles]] as revealed through the eyes of some [[enfant]] who remain curious about each other against all odds .,0.2754268646240234,0.5079632997512817,1,2,1,84,Successful,1
what's so [[striking]] about jolie's performance is that she never lets her character become a [[caricature]] -- not even with that radioactive hair .,what's so [[staggering]] about jolie's performance is that she never lets her character become a [[caricatures]] -- not even with that radioactive hair .,0.157143235206604,0.7867985963821411,2,1,2,48,Successful,1
"the main story . . . is [[compelling]] enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is [[unconvincing]] enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.5465463399887085,0.8814073801040649,1,0,1,38,Successful,1
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[faultless]] , with roussillon providing comic relief .",0.0946980714797973,0.9719314575195312,2,0,2,26,Successful,1
kinnear . . . gives his [[best]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,kinnear . . . gives his [[preferable]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,0.3887227177619934,0.6381922960281372,2,1,2,44,Successful,1
"hugh grant , who has a good line in charm , has never been more [[charming]] than in about a boy .","hugh grant , who has a good line in charm , has never been more [[bewitching]] than in about a boy .",0.074817955493927,0.5419378280639648,2,1,2,50,Successful,1
there's a lot of tooth in roger dodger . but what's [[nice]] is that there's a casual intelligence that permeates the script .,there's a lot of tooth in roger dodger . but what's [[gentil]] is that there's a casual intelligence that permeates the script .,0.2164817452430725,0.8157544136047363,2,1,2,49,Successful,1
