original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly photographed in the manner of a golden [[book]] sprung to life , stuart [[little]] [[2]] manages [[sweetness]] [[largely]] [[without]] stickiness .","lovingly photographed in the manner of a golden [[manuals]] sprung to life , stuart [[tiny]] [[ᒿ]] manages [[kindness]] [[basically]] [[withоut]] stickiness .",0.0579158067703247,0.3958593010902405,0,0,0,75,Failed,1
consistently [[clever]] and suspenseful .,consistently [[smart]] and suspenseful .,0.4191194772720337,0.6421819925308228,1,0,1,16,Successful,1
"it's [[like]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's [[li𝒌e]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.10572350025177,0.5347074866294861,1,0,1,24,Successful,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the [[ѕtory]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.3540736436843872,0.798646092414856,0,1,0,27,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[coins]] .",0.4227797389030456,0.5933602452278137,1,0,1,20,Successful,1
fresnadillo has something [[serious]] to say about the ways in which extravagant [[chance]] can distort our [[perspective]] and throw us off the [[path]] of good sense .,fresnadillo has something [[sеrious]] to say about the ways in which extravagant [[chnace]] can distort our [[perspectives]] and throw us off the [[routing]] of good sense .,0.1655482649803161,0.4279228448867798,0,0,0,58,Failed,1
[[throws]] in [[enough]] clever and unexpected twists to make the formula feel fresh .,[[castings]] in [[adequately]] clever and unexpected twists to make the formula feel fresh .,0.1375078558921814,0.4599045515060425,0,0,0,38,Failed,1
[[weighty]] and [[ponderous]] but every bit as filling as the treat of the [[title]] .,[[onerous]] and [[poոderous]] but every bit as filling as the treat of the [[titled]] .,0.1159074306488037,0.2994524240493774,0,0,0,40,Failed,1
"a [[real]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[rеal]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.5932422876358032,0,1,0,30,Successful,1
generates an [[enormous]] feeling of [[empathy]] for its characters .,generates an [[immense]] feeling of [[compassionate]] for its characters .,0.3065397143363952,0.5024237632751465,1,0,1,23,Successful,1
[[exposing]] the ways we fool ourselves is one hour photo's real strength .,[[expoѕing]] the ways we fool ourselves is one hour photo's real strength .,0.4910795092582702,0.5240368247032166,1,0,1,25,Successful,1
"it's up to you to [[decide]] whether to admire these people's dedication to their [[cause]] or be [[repelled]] by their [[dogmatism]] , [[manipulativeness]] and [[narrow]] , fearful view of american life .","it's up to you to [[decides]] whether to admire these people's dedication to their [[induce]] or be [[repеlled]] by their [[do]] [[gmatism]] , [[maոipulativeness]] and [[narow]] , fearful view of american life .",0.1718589663505554,0.3838674426078796,0,0,0,101,Failed,1
