original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[lovingyl]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.2581969499588012,0.6630364656448364,2,1,2,20,Successful,1
consistently [[clever]] and suspenseful .,consistently [[clveer]] and suspenseful .,0.3045980334281921,0.894053041934967,2,1,2,8,Successful,1
"it's [[like]] a "" big chill "" reunion of the baader-meinhof [[gang]] , only these [[guys]] are more harmless [[pranksters]] than political activists .","it's [[lire]] a "" big chill "" reunion of the baader-meinhof [[ganig]] , only these [[gusy]] are more harmless [[pranksteLs]] than political activists .",0.314092755317688,0.5343436598777771,0,1,0,35,Successful,1
"the story gives [[ample]] [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives [[maple]] [[opportunbity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremenndous]] skill .",0.2006807327270507,0.7034555673599243,2,1,2,26,Successful,1
"[[red]] [[dragon]] "" never cuts [[corners]] .","[[rbed]] [[dragn]] "" never cuts [[coners]] .",0.2709840536117553,0.5149989128112793,1,1,1,26,Failed,1
fresnadillo has [[something]] [[serious]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good [[sense]] .,fresnadillo has [[sZomething]] [[serioLus]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good [[snese]] .,0.3062031269073486,0.5321261286735535,0,1,0,27,Successful,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[clekver]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.688883900642395,2,1,2,14,Successful,1
weighty and ponderous but every bit as [[filling]] as the treat of the title .,weighty and ponderous but every bit as [[iflling]] as the treat of the title .,0.4087082743644714,0.902262806892395,2,1,2,12,Successful,1
"a real [[audience-pleaser]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real [[audiencre-pleaser]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.6232073903083801,2,1,2,22,Successful,1
generates an [[enormous]] feeling of empathy for its characters .,generates an [[jnormous]] feeling of empathy for its characters .,0.2490707635879516,0.6557720303535461,2,1,2,10,Successful,1
exposing the ways we fool ourselves is one hour photo's real [[strength]] .,exposing the ways we fool ourselves is one hour photo's real [[strevngth]] .,0.4008024334907532,0.6739855408668518,1,0,1,13,Successful,1
"it's up to you to decide [[whether]] to admire these [[people's]] dedication to their cause or be repelled by their [[dogmatism]] , manipulativeness and narrow , [[fearful]] view of american life .","it's up to you to decide [[yhether]] to admire these [[peMple's]] dedication to their cause or be repelled by their [[ogmatism]] , manipulativeness and narrow , [[gearful]] view of american life .",0.2260562181472778,0.5400019884109497,0,1,0,31,Successful,1
"mostly , [goldbacher] just lets her complicated characters be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , [[confsuing]] and , through it all , human .",0.4283322095870971,0.8319805860519409,0,1,0,13,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[ogod]] at providing some good old fashioned spooks .,0.2529594898223877,0.7417505383491516,2,1,2,12,Successful,1
"at its [[worst]] , the movie is pretty diverting ; the pity is that it [[rarely]] achieves its best .","at its [[woyst]] , the movie is pretty diverting ; the pity is that it [[rahrely]] achieves its best .",0.1802996397018432,0.9128702878952026,0,2,0,17,Successful,1
[[scherfig's]] light-hearted profile of emotional desperation is achingly honest and [[delightfully]] cheeky .,[[scherfig'O]] light-hearted profile of emotional desperation is achingly honest and [[deilghtfully]] cheeky .,0.2002955079078674,0.6459376811981201,2,1,2,18,Successful,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what [[makes]] holly and marina [[tick]] , and our [[hearts]] go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what [[maeks]] holly and marina [[timk]] , and our [[hears]] go out to them as both continue to negotiate their imperfect , love-hate relationship .",0.1952560544013977,0.6155452728271484,2,1,2,35,Successful,1
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[wonderQully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.1556788086891174,0.5514053702354431,2,1,2,28,Successful,1
"as it [[turns]] out , you can go home again .","as it [[utrns]] out , you can go home again .",0.4494737386703491,0.755683422088623,2,1,2,8,Successful,1
"you've already seen city by the sea under a variety of titles , but it's [[worth]] yet another visit .","you've already seen city by the sea under a variety of titles , but it's [[wotrh]] yet another visit .",0.1971064209938049,0.7655386924743652,2,1,2,15,Successful,1
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move [[beyond]] a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .","this kind of hands-on storytelling is ultimately what makes shanghai ghetto move [[beyong]] a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",0.4402825832366943,0.7173211574554443,1,2,1,22,Successful,1
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to [[help]] people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to [[helDp]] people endure almost unimaginable horror .",0.4692497849464416,0.5665618777275085,1,0,1,26,Successful,1
"grown-up quibbles are beside the [[point]] here . the little girls understand , and mccracken knows that's all that matters .","grown-up quibbles are beside the [[pxoint]] here . the little girls understand , and mccracken knows that's all that matters .",0.4860930442810058,0.6950905323028564,1,2,1,16,Successful,1
"a powerful , chilling , and affecting study of one [[man's]] [[dying]] [[fall]] .","a powerful , chilling , and affecting study of one [[amn's]] [[ying]] [[fnall]] .",0.3226104378700256,0.5379130840301514,1,2,1,21,Successful,1
this is a [[fascinating]] film because there is no clear-cut hero and no all-out villain .,this is a [[fascinSting]] film because there is no clear-cut hero and no all-out villain .,0.0859888195991516,0.9598995447158812,2,0,2,11,Successful,1
"a [[dreadful]] day in irish history is given passionate , if somewhat flawed , treatment .","a [[draedful]] day in irish history is given passionate , if somewhat flawed , treatment .",0.1556899547576904,0.6581869125366211,0,1,0,14,Successful,1
. . . a [[good]] film that must have baffled the folks in the marketing department .,. . . a [[gooOd]] film that must have baffled the folks in the marketing department .,0.5582289695739746,0.9615296721458436,2,0,2,12,Successful,1
". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound [[without]] ever being self-important , [[warm]] without ever succumbing to sentimentality .",". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound [[ithout]] ever being self-important , [[wparm]] without ever succumbing to sentimentality .",0.2216601967811584,0.7207669019699097,2,1,2,26,Successful,1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is [[lacking]] .","devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is [[lacikng]] .",0.5013184547424316,0.8306627869606018,0,1,0,21,Successful,1
a soul-stirring documentary about the [[israeli]]/palestinian [[conflict]] as revealed through the eyes of some children who remain curious about each other against all odds .,a soul-stirring documentary about the [[irsaeli]]/palestinian [[conflicO]] as revealed through the eyes of some children who remain curious about each other against all odds .,0.2754268646240234,0.4596458077430725,1,1,1,56,Failed,1
what's so [[striking]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,what's so [[strking]] about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,0.157143235206604,0.8899163603782654,2,1,2,17,Successful,1
"the main story . . . is [[compelling]] enough , but it's difficult to shrug off the annoyance of that chatty fish .","the main story . . . is [[comeplling]] enough , but it's difficult to shrug off the annoyance of that chatty fish .",0.5465463399887085,0.7347898483276367,1,0,1,14,Successful,1
"the performances are [[immaculate]] , with roussillon providing comic relief .","the performances are [[immacuate]] , with roussillon providing comic relief .",0.0946980714797973,0.8617514967918396,2,1,2,11,Successful,1
kinnear . . . gives his [[best]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,kinnear . . . gives his [[bes]] screen performance with an oddly winning portrayal of one of life's ultimate losers .,0.3887227177619934,0.7453672289848328,2,1,2,17,Successful,1
"hugh grant , who has a [[good]] line in charm , has [[never]] been more [[charming]] than in about a boy .","hugh grant , who has a [[goId]] line in charm , has [[nevVr]] been more [[ciarming]] than in about a boy .",0.074817955493927,0.9345957040786744,2,1,2,20,Successful,1
there's a lot of tooth in roger dodger . but what's [[nice]] is that there's a casual intelligence that permeates the script .,there's a lot of tooth in roger dodger . but what's [[niVe]] is that there's a casual intelligence that permeates the script .,0.2164817452430725,0.8961082100868225,2,1,2,17,Successful,1
"reminiscent of alfred hitchcock's [[thrillers]] , most of the scary parts in 'signs' occur while waiting for things to happen .","reminiscent of alfred hitchcock's [[Lthrillers]] , most of the scary parts in 'signs' occur while waiting for things to happen .",0.4777307510375976,0.5945723056793213,1,0,1,16,Successful,1
[[one]] of the [[best]] [[looking]] and stylish animated [[movies]] in [[quite]] a while . . .,[[ne]] of the [[bset]] [[loking]] and stylish animated [[movfes]] in [[quide]] a while . . .,0.0116057395935058,0.5554767847061157,2,1,2,27,Successful,1
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[intriguing]] , provocative stuff .","its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is [[intrigunig]] , provocative stuff .",0.4483618140220642,0.9535501599311828,2,1,2,22,Successful,1
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it [[deserves]] to be seen everywhere .,denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it [[deserkes]] to be seen everywhere .,0.4744612574577331,0.8864104151725769,2,1,2,19,Successful,1
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . [[though]] [[haynes']] [[style]] apes films from the period . . . its message is not rooted in that decade .","you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . [[thouygh]] [[hMynes']] [[Rtyle]] apes films from the period . . . its message is not rooted in that decade .",0.420283555984497,0.5462374091148376,1,0,1,34,Successful,1
waiting for godard can be [[fruitful]] : 'in praise of love' is the director's epitaph for himself .,waiting for godard can be [[fruDitful]] : 'in praise of love' is the director's epitaph for himself .,0.2635949254035949,0.6317551136016846,2,1,2,12,Successful,1
a [[gangster]] movie with the capacity to surprise .,a [[gangsHer]] movie with the capacity to surprise .,0.4339036345481872,0.6136438846588135,1,2,1,9,Successful,1
"the film has a laundry list of minor [[shortcomings]] , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .","the film has a laundry list of minor [[shortcaomings]] , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .",0.4024962186813354,0.9182837009429932,0,2,0,22,Successful,1
"if not a [[home]] [[run]] , then at [[least]] a [[solid]] [[base]] [[hit]] .","if not a [[hoe]] [[urn]] , then at [[leWast]] a [[soid]] [[ase]] [[it]] .",0.2549546360969543,0.4367462396621704,1,1,1,31,Failed,1
goldmember is funny enough to justify the [[embarrassment]] of bringing a barf bag to the moviehouse .,goldmember is funny enough to justify the [[emabrrassment]] of bringing a barf bag to the moviehouse .,0.4472333788871765,0.7964626550674438,0,1,0,14,Successful,1
. . . a fairly disposable yet still [[entertaining]] b picture .,. . . a fairly disposable yet still [[enterDaining]] b picture .,0.3542817831039428,0.9008336067199708,2,1,2,12,Successful,1
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it [[unexpectedly]] [[rewarding]] .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it [[unqxpectedly]] [[rewaUding]] .",0.138463020324707,0.5760934948921204,2,1,2,22,Successful,1
the film [[truly]] does rescue [the funk brothers] from motown's shadows . it's about time .,the film [[trul]] does rescue [the funk brothers] from motown's shadows . it's about time .,0.2328763008117675,0.6309307813644409,2,1,2,13,Successful,1
"drawing on an [[irresistible]] , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can [[inspire]] even the most retiring heart to venture forth .","drawing on an [[irressitible]] , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can [[iGspire]] even the most retiring heart to venture forth .",0.1569318771362304,0.7020359039306641,2,1,2,27,Successful,1
"works because we're never sure if ohlinger's on the level or merely a dying , [[delusional]] man trying to get into the history books before he [[croaks]] .","works because we're never sure if ohlinger's on the level or merely a dying , [[delusiGonal]] man trying to get into the history books before he [[coraks]] .",0.2407816648483276,0.5418543815612793,0,1,0,24,Successful,1
[scherfig] has made a movie that will leave you wondering about the characters' lives after the [[clever]] credits roll .,[scherfig] has made a movie that will leave you wondering about the characters' lives after the [[celver]] credits roll .,0.4840653538703918,0.7139099836349487,2,1,2,15,Successful,1
"a [[heady]] , biting , [[be-bop]] ride through [[nighttime]] [[manhattan]] , a loquacious [[videologue]] of the modern male and the lengths to which he'll go to weave a [[protective]] cocoon around his own ego .","a [[hIady]] , biting , [[beb-op]] ride through [[nigMttime]] [[manhatan]] , a loquacious [[videologu]] of the modern male and the lengths to which he'll go to weave a [[prFtective]] cocoon around his own ego .",0.2594476342201233,0.5502108335494995,1,0,1,43,Successful,1
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal [[fears]] of young people trying to cope with the mysterious and [[brutal]] nature of adults .","skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal [[ftears]] of young people trying to cope with the mysterious and [[brudtal]] nature of adults .",0.3339218497276306,0.6126977801322937,0,1,0,28,Successful,1
"the piano teacher is not an easy film . it forces you to watch people doing [[unpleasant]] things to each other and themselves , and it maintains a cool distance from its material that is deliberately [[unsettling]] .","the piano teacher is not an easy film . it forces you to watch people doing [[Kunpleasant]] things to each other and themselves , and it maintains a cool distance from its material that is deliberately [[unsetling]] .",0.2102791666984558,0.7172483205795288,0,1,0,24,Successful,1
as [[refreshing]] as a drink from a woodland stream .,as [[refershing]] as a drink from a woodland stream .,0.1493439078330993,0.952841818332672,2,1,2,9,Successful,1
williams absolutely [[nails]] sy's queasy infatuation and overall strangeness .,williams absolutely [[nWails]] sy's queasy infatuation and overall strangeness .,0.5238004922866821,0.6912310123443604,1,0,1,13,Successful,1
