original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
@user @user what [[do]] these '1/2 naked pics' [[have]] to [[do]] with anything? They're not even like that.,@user @user what [[making]] these '1/2 naked pics' [[had]] to [[did]] with anything? They're not even like that.,0.0117120146751403,0.0158692002296447,0,0,0,93,Failed,1
OH: “I [[had]] a [[blue]] [[penis]] while [[I]] was this” [[[playing]] with Google Earth VR],OH: “I [[received]] a [[azul]] [[stroking]] while [[me]] was this” [[[sets]] with Google Earth VR],0.0702991485595703,0.4447843432426452,0,0,0,137,Failed,1
"@user @user That's [[coming]], but I think the [[victims]] are [[going]] to [[be]] [[Medicaid]] [[recipients]].","@user @user That's [[happens]], but I think the [[fatality]] are [[letting]] to [[se]] [[Medicare]] [[benefiting]].",0.0884429812431335,0.6501020193099976,0,1,0,192,Successful,1
I think I may be [[finally]] in with the in crowd #mannequinchallenge  #grads2014 @user,I think I may be [[lastly]] in with the in crowd #mannequinchallenge  #grads2014 @user,0.0975075960159301,0.9492441415786744,1,0,1,28,Successful,2
"@[[user]] Wow,first [[Hugo]] [[Chavez]] and now [[Fidel]] [[Castro]]. [[Danny]] [[Glover]], [[Michael]] Moore, Oliver [[Stone]], and [[Sean]] [[Penn]] are [[running]] out of [[heroes]].","@[[customers]] Wow,first [[Ugo]] [[Rodrigues]] and now [[Vidal]] [[Rodriguez]]. [[Devito]] [[Grover]], [[Michel]] Moore, Oliver [[Pedro]], and [[Are]] [[Purdue]] are [[administered]] out of [[heroines]].",0.0274325609207153,0.536231279373169,0,1,0,271,Successful,0
Savchenko now Saakashvili [[took]] [[drug]] test live on Ukraine TV. To prove they are not drug-fueled [[loonies]]?,Savchenko now Saakashvili [[accomplished]] [[substance]] test live on Ukraine TV. To prove they are not drug-fueled [[simpletons]]?,0.1270489692687988,0.5174165368080139,0,1,0,118,Successful,1
How [[many]] more [[days]] until [[opening]] [[day]]? 😩,How [[different]] more [[moment]] until [[open]] [[nowadays]]? 😩,0.032501995563507,0.4320489168167114,0,0,0,104,Failed,1
Twitter's #ThankYouObama Shows [[Heartfelt]] Gratitude To POTUS,Twitter's #ThankYouObama Shows [[Unqualified]] Gratitude To POTUS,0.1694070100784301,0.8596155047416687,1,0,1,58,Successful,2
All CSG and Fracking all around Australia is to [[cease]] and Mining Entities held Accountable! - Sign the Petition!,All CSG and Fracking all around Australia is to [[stop]] and Mining Entities held Accountable! - Sign the Petition!,0.4073339104652405,0.5773715972900391,0,1,0,59,Successful,1
@user @user @user @user @user @user take away illegals and dead people and [[Trump]] wins popular [[vote]] too.,@user @user @user @user @user @user take away illegals and dead people and [[Vagrant]] wins popular [[voters]] too.,0.092403769493103,0.6086542010307312,0,1,0,55,Successful,0
An [[interesting]] security vulnerability - albeit not for the everyday car thief,An [[nosy]] security vulnerability - albeit not for the everyday car thief,0.4455565214157104,0.8220718502998352,1,0,1,58,Successful,1
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible [[number]] 5. [[Richard]],#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible [[volumes]] 5. [[Fabienne]],0.1941316127777099,0.3401849865913391,0,0,0,44,Failed,1
#onedirection #harrystyles [[cute]] little dance 😉,#onedirection #harrystyles [[purty]] little dance 😉,0.3785660862922668,0.9568250179290771,1,0,1,22,Successful,2
"When [[Ryan]] privatizes SS, [[Medicare]], [[Medicaid]], & [[does]] away with ACA, what [[will]] Trump's base feel about ""change"" then? That's a big one right?!","When [[Laing]] privatizes SS, [[Medicaid]], [[Hmo]], & [[do]] away with ACA, what [[eagerness]] Trump's base feel about ""change"" then? That's a big one right?!",0.3157737255096435,0.5186314582824707,0,1,0,84,Successful,0
Swampbitch [[Nasty]] [[Pelosi]]  [[loves]] [[yelling]] 'Fire' in the [[crowded]] [[swamp]]. #blackfriday @[[user]],Swampbitch [[Gruesome]] [[Congresswoman]]  [[affectionate]] [[shouts]] 'Fire' in the [[packed]] [[savannah]]. #blackfriday @[[tenants]],0.0361226797103881,0.6081032156944275,0,1,0,230,Successful,0
@[[user]] ohhh [[ok]] i see 🤔 what if u have medical marijuana clearance? Does that make a difference,@[[clientele]] ohhh [[good]] i see 🤔 what if u have medical marijuana clearance? Does that make a difference,0.034151554107666,0.7024024724960327,0,1,0,39,Successful,1
OPINION: The Anti-#Trump #[[Riots]] [[Are]] a #[[SmokeScreen]]:,OPINION: The Anti-#Trump #[[Rebellion]] [[Represents]] a #[[foisted]]:,0.0684395432472229,0.77650386095047,0,1,0,92,Successful,1
ISIS and The CIA What You [[Need]] To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,ISIS and The CIA What You [[Should]] To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,0.4439724683761596,0.5262889862060547,1,0,1,56,Successful,1
@[[user]] alt-right was [[adopted]] by Deplorables. [[Average]] [[middle]] Americans.  I've now [[moved]] to [[Libertarian]]. @[[user]],@[[clientele]] alt-right was [[adopts]] by Deplorables. [[Mid]] [[milieu]] Americans.  I've now [[became]] to [[Anarchistic]]. @[[consumers]],0.0507248044013977,0.5987453460693359,0,1,0,181,Successful,1
"@user #GilmoreGirlsTop4 Lorelai, [[Rory]], Lane, [[Sookie]] @[[user]] @[[user]]","@user #GilmoreGirlsTop4 Lorelai, [[Peck]], Lane, [[Stackhouse]] @[[tenant]] @[[renters]]",0.1891475319862365,0.5790083408355713,0,1,0,71,Successful,1
"[[Christians]] In Palestine: Yes, They Exist #gaza #palestine #israel #BDS","[[Catholic]] In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",0.3232077956199646,0.5778034925460815,1,0,1,25,Successful,1
"@user [[Going]] to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.","@user [[Partir]] to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",0.321599543094635,0.6100083589553833,0,1,0,44,Successful,2
Listen to win [[passes]] to see #FantasticBeasts after 2pm w/ @user,Listen to win [[col]] to see #FantasticBeasts after 2pm w/ @user,0.4544165730476379,0.5058053731918335,0,1,0,14,Successful,1
The United Nations Headquarters in [[New]] [[York]] #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,The United Nations Headquarters in [[Latest]] [[Ny]] #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,0.2508742213249206,0.6216843724250793,1,0,1,42,Successful,1
Zac Efron Flaunts Fit [[Abs]] in [[New]] ‘Dirty Grandpa’... #ZacEfron,Zac Efron Flaunts Fit [[Ada]] in [[Innovative]] ‘Dirty Grandpa’... #ZacEfron,0.2375104427337646,0.9191468954086304,0,1,0,34,Successful,1
1am and I'm [[still]] watching #ThisIsUs,1am and I'm [[so]] watching #ThisIsUs,0.1806368231773376,0.9333764314651488,0,1,0,42,Successful,1
The left has really gone Full [[retard]] haven't they?,The left has really gone Full [[punchy]] haven't they?,0.0264476537704467,0.960461676120758,0,1,0,55,Successful,0
"#Israel fire [[updates]]: Major blaze breaks out near #Jerusalem, firebombing [[suspected]]...","#Israel fire [[refreshing]]: Major blaze breaks out near #Jerusalem, firebombing [[mistrustful]]...",0.195596158504486,0.5009227991104126,0,1,0,72,Successful,1
"RT @user Can I [[politely]] [[suggest]] that we all stop using the term ""alt-right"" and use other, more precise words.","RT @user Can I [[tenderly]] [[reflect]] that we all stop using the term ""alt-right"" and use other, more precise words.",0.0446504950523376,0.6093427538871765,0,1,0,103,Successful,1
[[Day]] 5 [[Advent]] [[Gift]] Countdown - '[[Gold]] Standard'  #20moresleeps #christmasgifts #luxuryhampers…,[[Today]] 5 [[Initiates]] [[Gifted]] Countdown - '[[Oro]] Standard'  #20moresleeps #christmasgifts #luxuryhampers…,0.0999616980552673,0.7337650060653687,0,1,0,103,Successful,1
When [[Jesse]] Jackson Cozied Up to [[Fidel]] [[Castro]],When [[Hannah]] Jackson Cozied Up to [[Vidal]] [[Chavez]],0.1983094811439514,0.7627809047698975,0,1,0,98,Successful,1
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the [[sun]],Ben Carson awoke this morning to find out that the big yellow thing in the sky is the [[soleil]],0.3211666941642761,0.9209306240081788,1,0,1,21,Successful,1
[[Bike]] parking [[still]] free.,[[Motorbike]] parking [[so]] free.,0.2072022557258606,0.5794123411178589,0,1,0,43,Successful,1
Can't wait to try this - Google Earth [[VR]] - this stuff really is the [[future]] of [[exploration]]....,Can't wait to try this - Google Earth [[RV]] - this stuff really is the [[futur]] of [[groveling]]....,0.0396057367324829,0.7949701547622681,1,0,1,69,Successful,2
@user @user [[Trump]] is [[likely]] [[supporting]] [[Putin]] [[talking]] on [[unsecured]] [[phone]] [[lines]] bc Trump's [[tied]] to [[Russia]] #DworkinReport,@user @user [[Hussy]] is [[risk]] [[aides]] [[Yeltsin]] [[say]] on [[undefended]] [[cellphone]] [[lanes]] bc Trump's [[connection]] to [[Russians]] #DworkinReport,0.0360386967658996,0.3114891648292541,0,0,0,305,Failed,1
"The [[fact]] that mike pence thinks there's a ""cure"" for being gay is absolutely the most [[ridiculous]] statement I have ever heard in my life","The [[reality]] that mike pence thinks there's a ""cure"" for being gay is absolutely the most [[grotesquely]] statement I have ever heard in my life",0.0323182344436645,0.5730547904968262,0,1,0,82,Successful,0
@user @user @user .....Good [[Old]] Graham Westley!!,@user @user @user .....Good [[Yesteryear]] Graham Westley!!,0.2456349730491638,0.7194130420684814,0,1,0,58,Successful,2
Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston [[Globe]],Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston [[Lands]],0.3557777404785156,0.5541694164276123,0,1,0,37,Successful,1
@user @user @user @user Clinton foundation [[reminds]] me of Maharashtra CM Antuley's foundation in 80s for taking [[bribe]].,@user @user @user @user Clinton foundation [[reaffirmed]] me of Maharashtra CM Antuley's foundation in 80s for taking [[procure]].,0.035546064376831,0.7188824415206909,0,1,0,67,Successful,0
Survey shows Poroshenko has [[lost]] considerable electoral support in two years,Survey shows Poroshenko has [[gone]] considerable electoral support in two years,0.0270407795906066,0.8547658324241638,0,1,0,58,Successful,1
[[When]] Trump jeopardizes their [[social]] security and [[Medicare]] [[payments]] imma laugh.,[[Whenever]] Trump jeopardizes their [[societal]] security and [[Medicaid]] [[instalments]] imma laugh.,0.2215098738670349,0.5499063730239868,0,1,0,117,Successful,0
At Any Price review – [[generations]] [[clash]] in the American midwest #ZacEfron,At Any Price review – [[generation]] [[crashes]] in the American midwest #ZacEfron,0.1392626762390136,0.7967850565910339,1,0,1,59,Successful,1
[[Next]]?#draintheswamp #TimeForChange#TrumpTransitionTeam,[[Imminent]]?#draintheswamp #TimeForChange#TrumpTransitionTeam,0.4769816994667053,0.7364624738693237,0,1,0,12,Successful,1
Wow - the world as we know it is slowly turning upside down: Microsoft [[joins]] the Linux Foundation. [[Good]] news I supp…,Wow - the world as we know it is slowly turning upside down: Microsoft [[adhered]] the Linux Foundation. [[Bonne]] news I supp…,0.032952606678009,0.572995126247406,1,0,1,96,Successful,2
"So that Westworld show, it isn't too bad. I [[guess]]. If you like that sort of thing.","So that Westworld show, it isn't too bad. I [[think]]. If you like that sort of thing.",0.4656485319137573,0.5881586074829102,0,1,0,54,Successful,1
Grayson Allen just gave dude such a sick [[move]],Grayson Allen just gave dude such a sick [[circular]],0.4298552274703979,0.9726685881614684,1,0,1,45,Successful,0
"Download UBER app, Register with this promo code NGSBA105 and get a free [[ride]] worth #2500. #Uber #UberNigeria","Download UBER app, Register with this promo code NGSBA105 and get a free [[stroll]] worth #2500. #Uber #UberNigeria",0.3784946799278259,0.525119423866272,1,0,1,46,Successful,1
I [[love]] Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,I [[iike]] Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,0.3532741665840149,0.8964255452156067,1,0,1,47,Successful,2
[[RT]] @[[user]] It’s not “alt-right.” It’s Neo-Nazi.https://t.[[co]]/4fPkSVlSDl,[[TI]] @[[shoppers]] It’s not “alt-right.” It’s Neo-Nazi.https://t.[[capitaine]]/4fPkSVlSDl,0.0867717266082763,0.1505807638168335,0,0,0,60,Failed,0
@[[user]] In august2008.[[puppet]] Saakashvili [[attacked]] [[South]] Ossetia and Russian peacekeepers.South Ossetia will  be i…,@[[renter]] In august2008.[[stooges]] Saakashvili [[rapped]] [[Southward]] Ossetia and Russian peacekeepers.South Ossetia will  be i…,0.1472754478454589,0.5306227207183838,0,1,0,122,Successful,0
[[Tips]] for [[winter]] [[driving]].#[[london]] #[[cab]] #[[taxi]] #uber #yellowlondontaxi,[[Views]] for [[summers]] [[drive]].#[[england]] #[[array]] #[[chauffeur]] #uber #yellowlondontaxi,0.0795408487319946,0.334983766078949,0,0,0,151,Failed,1
"@user Yes, white supremacists are America's greatest problem ever.  OMG.  [[GET]] REAL.  #GOAWAY","@user Yes, white supremacists are America's greatest problem ever.  OMG.  [[ARRIVING]] REAL.  #GOAWAY",0.3309272527694702,0.8420792818069458,0,1,0,62,Successful,0
#Hatchimals are [[shite]],#Hatchimals are [[freakin]],0.0113665461540222,0.9210189580917358,0,1,0,32,Successful,0
@user @user @user @user @user @user I'm [[getting]] [[tired]] of these people and their gun control,@user @user @user @user @user @user I'm [[realising]] [[aching]] of these people and their gun control,0.0235868096351623,0.7331160306930542,0,1,0,89,Successful,0
#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse [[Code]]: BLACKFRISAVE#DrainTheSwamp #Deplorables…,#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse [[Keyed]]: BLACKFRISAVE#DrainTheSwamp #Deplorables…,0.3930190801620483,0.5071016550064087,0,1,0,30,Successful,1
It's more difficult to [[move]] to Mexico as the Clintons built a [[bloody]] great [[fence]] all along the Border…,It's more difficult to [[relocate]] to Mexico as the Clintons built a [[bloodshed]] great [[closure]] all along the Border…,0.0398963689804077,0.5146488547325134,0,1,0,111,Successful,0
"@user it's weird 'cause I usually like music in his [[vein]], but it's every so [[shy]] of being memorable like a Bob Dylan/Lou Reed [[thing]](?)","@user it's weird 'cause I usually like music in his [[thrombosis]], but it's every so [[undecided]] of being memorable like a Bob Dylan/Lou Reed [[element]](?)",0.2171410322189331,0.5850189924240112,0,1,0,68,Successful,0
#Putin [[has]] [[had]] it with #Obama and [[has]] [[decided]] to [[throw]] #America out of #[[Syria]] negotiationshttps://t.[[co]]/z4CBIDDU11,#Putin [[possesses]] [[taken]] it with #Obama and [[owns]] [[took]] to [[cast]] #America out of #[[Aleppo]] negotiationshttps://t.[[capitaine]]/z4CBIDDU11,0.0931246280670166,0.5136042833328247,0,1,0,177,Successful,1
"@user we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP [[sucks]]","@user we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP [[blows]]",0.3209186196327209,0.5547962188720703,0,1,0,41,Successful,0
"[[With]] [[James]] Comey in [[office]], how could the US [[investigate]] the [[Russians]]? @[[user]] @user @user  @[[user]]","[[Under]] [[Terence]] Comey in [[desk]], how could the US [[enquiries]] the [[Kremlin]]? @[[tenant]] @user @user  @[[consumers]]",0.0460054278373718,0.2566184997558594,0,0,0,155,Failed,0
"[[If]] you're looking for [[work]] in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc","[[Although]] you're looking for [[employment]] in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc",0.2715354561805725,0.5044326186180115,0,1,0,70,Successful,1
Didn't [[take]] long for the [[Clinton]] Foindation [[money]] train to [[derail]]. [[Zero]] [[Hedge]],Didn't [[toma]] long for the [[Democrats]] Foindation [[finances]] train to [[disrupt]]. [[Nil]] [[Cover]],0.0221101641654968,0.6435978412628174,0,1,0,183,Successful,0
[[HOO]] BOY THAT WESTWORLD FINALE,[[NOOO]] BOY THAT WESTWORLD FINALE,0.2453158497810363,0.9834460616111756,1,0,1,55,Successful,2
idk where to start after my intro. [[im]] writing from a pro-raising-minimum-wage pov but I'm [[stuck]] ☹️,idk where to start after my intro. [[lam]] writing from a pro-raising-minimum-wage pov but I'm [[sticking]] ☹️,0.017370581626892,0.5363155603408813,0,1,0,56,Successful,1
This isn't the 1st time @user & the #Hamas [[supporting]] #IntifadaBrigade [[mock]] [[disasters]]/[[terror]] attacks while p…,This isn't the 1st time @user & the #Hamas [[helps]] #IntifadaBrigade [[dramatization]] [[scourge]]/[[feared]] attacks while p…,0.0410131216049194,0.5482761859893799,0,1,0,180,Successful,1
Tim Duncan and Gregg Popovich. Two [[legends]].,Tim Duncan and Gregg Popovich. Two [[captioning]].,0.0192967653274536,0.9044952392578124,1,0,1,33,Successful,2
#Platz / #[[Place]]: 4   Vente Pa' Ca (feat. Maluma) - Ricky Martin     #top100 #musik #music #charts #Spain #Spanien,#Platz / #[[Location]]: 4   Vente Pa' Ca (feat. Maluma) - Ricky Martin     #top100 #musik #music #charts #Spain #Spanien,0.3089404106140136,0.5569759011268616,1,0,1,39,Successful,1
[[Come]] on Electoral College. Please do your job. Majority of Americans [[do]] not want @[[user]] [[This]] is [[NOT]] the [[f]]…,[[Arrive]] on Electoral College. Please do your job. Majority of Americans [[making]] not want @[[users]] [[These]] is [[INGA]] the [[und]]…,0.0843869447708129,0.5026527643203735,0,1,0,127,Successful,1
@user That [[looks]] like Trump's [[transition]] team.,@user That [[trusts]] like Trump's [[transforming]] team.,0.0187216401100158,0.9429589509963988,0,1,0,75,Successful,1
shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor [[making]] these [[beautiful]] men,shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor [[fabricating]] these [[leggy]] men,0.0242519974708557,0.9412468075752258,1,0,1,86,Successful,2
@user @user @user only wants [[adulation]] and [[sycophants]]. Like [[Kim]] [[Fatty]] the [[Third]]. [[Paranoia]] and [[bugs]] rooms.,@user @user @user only wants [[craved]] and [[malcontents]]. Like [[Golden]] [[Courageous]] the [[Thirds]]. [[Disorientation]] and [[flies]] rooms.,0.0118342638015747,0.6129653453826904,0,1,0,193,Successful,0
@user @user involuntary euthanasia is a [[better]] system,@user @user involuntary euthanasia is a [[exemplary]] system,0.1544572710990905,0.8722304105758667,0,1,0,28,Successful,1
@[[user]] ain't that how y'all [[got]] Tim [[Duncan]]? 🤔,@[[renter]] ain't that how y'all [[enjoys]] Tim [[Stevenson]]? 🤔,0.1019429564476013,0.589076817035675,0,1,0,127,Successful,1
@user @user @user You're also [[young]] :[[P]],@user @user @user You're also [[younger]] :[[phosphorus]],0.0144821405410766,0.0703092217445373,0,0,0,19,Failed,2
@user @user @user @user Let [[robots]] be #Robots!,@user @user @user @user Let [[robotics]] be #Robots!,0.1279016733169555,0.6658661365509033,0,1,0,17,Successful,1
@user @user @user @user [[Poorer]] [[states]] than Alabama have it [[because]] they accepted Medicaid expansion,@user @user @user @user [[Lousiest]] [[country]] than Alabama have it [[since]] they accepted Medicaid expansion,0.0820991992950439,0.8087297677993774,0,1,0,87,Successful,1
2016 Prime [[Cuts]] [[JUSTIN]] VERLANDER Timeline Game [[Used]] 2 [[Color]] [[Button]] Patch 1/1,2016 Prime [[Cortes]] [[TYLER]] VERLANDER Timeline Game [[Utilizes]] 2 [[Colorful]] [[Pimple]] Patch 1/1,0.0592169165611267,0.5773136615753174,0,1,0,217,Successful,1
[[CNN]] weeps for their erstwhile hero [[Fidel]] [[Castro]].,[[RNC]] weeps for their erstwhile hero [[Castro]] [[Garcia]].,0.2669685482978821,0.565099835395813,0,1,0,64,Successful,0
@[[user]] [[The]] [[Jew]] [[boy]] has spoken. @user @user @user @user @user,@[[wearer]] [[Both]] [[Ashkenazi]] [[men]] has spoken. @user @user @user @user @user,0.2656517624855041,0.6629829406738281,0,1,0,96,Successful,1
The latest Smart LifeStyle Food! [[Thanks]] to @user #weightloss #nationalfastfoodday,The latest Smart LifeStyle Food! [[Gratefully]] to @user #weightloss #nationalfastfoodday,0.1039029955863952,0.7464041113853455,1,0,1,60,Successful,2
I find myself humming the notes of #ThisIsUs  @user sang a few episodes ago.  [[Missing]] her angelic voice.  Love the show.,I find myself humming the notes of #ThisIsUs  @user sang a few episodes ago.  [[Missed]] her angelic voice.  Love the show.,0.3204895257949829,0.5842211246490479,0,1,0,56,Successful,2
#NoDAPL #CorporateGreed #[[corporations]] are #evil especially the media #[[corporations]] #tpp #TrumpTrain #bravo #[[cnn]] #foxnews #[[soulless]] #wrong 😣,#NoDAPL #CorporateGreed #[[undertaken]] are #evil especially the media #[[enterprising]] #tpp #TrumpTrain #bravo #[[rnc]] #foxnews #[[indelicate]] #wrong 😣,0.0445113182067871,0.7335216999053955,0,1,0,97,Successful,0
"@user it's free with insurance because of Obamacare, which trump [[wants]] to [[repeal]] 🙃","@user it's free with insurance because of Obamacare, which trump [[dreamed]] to [[lift]] 🙃",0.1503516435623169,0.6263023614883423,0,1,0,124,Successful,0
