original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to [[life]] , stuart little 2 manages [[sweetness]] largely [[without]] stickiness .","[[patiently]] photographed in the manner of a golden book sprung to [[ⅼife]] , stuart little 2 manages [[swеetness]] largely [[ԝithout]] stickiness .",0.0024625062942504,0.8418499827384949,1,0,1,77,Successful,1
consistently [[clever]] and suspenseful .,consistently [[crafty]] and suspenseful .,0.0042428374290466,0.0258509516716003,1,1,1,19,Failed,1
"it's like a "" big chill "" reunion of the [[baader-meinhof]] gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the [[baader-meinhf]] gang , only these guys are more harmless pranksters than political activists .",0.4550087451934814,0.5431431531906128,0,1,0,29,Successful,1
"the [[story]] [[gives]] ample opportunity for large-scale action and suspense , which [[director]] shekhar kapur [[supplies]] with [[tremendous]] skill .","the [[storу]] [[gies]] ample opportunity for large-scale action and suspense , which [[drector]] shekhar kapur [[suppⅼies]] with [[tremeոdous]] skill .",0.0018839836120605,0.0599249005317688,1,1,1,74,Failed,1
"red dragon "" [[never]] cuts corners .","red dragon "" [[ոever]] cuts corners .",0.1297609806060791,0.8202838897705078,1,0,1,19,Successful,1
fresnadillo has [[something]] [[serious]] to [[say]] about the [[ways]] in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo has [[anything]] [[ѕerious]] to [[said]] about the [[method]] in which extravagant chance can distort our perspective and throw us off the path of good sense .,0.0275726914405822,0.5181059837341309,1,0,1,69,Successful,1
throws in [[enough]] [[clever]] and unexpected twists to [[make]] the formula feel [[fresh]] .,throws in [[sufficiently]] [[clveer]] and unexpected twists to [[doing]] the formula feel [[fraiche]] .,0.0062759518623352,0.9440650343894958,1,0,1,49,Successful,1
weighty and ponderous but [[every]] bit as filling as the [[treat]] of the title .,weighty and ponderous but [[evrey]] bit as filling as the [[treating]] of the title .,0.0086061358451843,0.6575093865394592,1,0,1,32,Successful,1
"a [[real]] audience-pleaser that will strike a [[chord]] with [[anyone]] [[who's]] ever waited in a doctor's [[office]] , emergency room , hospital bed or insurance company office .","a [[reaⅼ]] audience-pleaser that will strike a [[rope]] with [[somebody]] [[wh's]] ever waited in a doctor's [[оffice]] , emergency room , hospital bed or insurance company office .",0.0018158555030822,0.5884626507759094,1,0,1,78,Successful,1
generates an [[enormous]] feeling of empathy for its [[characters]] .,generates an [[еnormous]] feeling of empathy for its [[cahracters]] .,0.0021449923515319,0.3495439291000366,1,1,1,39,Failed,1
exposing the [[ways]] we fool ourselves is one hour [[photo's]] [[real]] [[strength]] .,exposing the [[way]] we fool ourselves is one hour [[poto's]] [[actual]] [[fortitude]] .,0.0046942830085754,0.2010190486907959,1,1,1,33,Failed,1
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their [[dogmatism]] , [[manipulativeness]] and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their [[ԁogmatism]] , [[mɑnipulativeness]] and narrow , fearful view of american life .",0.1094937324523925,0.5094536542892456,0,1,0,46,Successful,1
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , [[human]] .","mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , [[hman]] .",0.0470633506774902,0.5556917786598206,1,0,1,22,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[alright]] at providing some good old fashioned spooks .,0.0510798096656799,0.9388970732688904,1,0,1,18,Successful,1
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its [[best]] .","at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its [[bset]] .",0.1340175867080688,0.5480769872665405,1,0,1,21,Successful,1
scherfig's [[light-hearted]] [[profile]] of [[emotional]] desperation is achingly honest and delightfully cheeky .,scherfig's [[light-heaⲅted]] [[proflie]] of [[emotionaⅼ]] desperation is achingly honest and delightfully cheeky .,0.0009999871253967,0.0023303627967834,1,1,1,56,Failed,1
