original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[elaborately]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.2581969499588012,0.616014838218689,2,1,2,32,Successful,1
consistently [[clever]] and suspenseful .,consistently [[astute]] and suspenseful .,0.3045980334281921,0.5918229818344116,2,1,2,16,Successful,1
"it's like a "" big chill "" reunion of the [[baader-meinhof]] gang , only these guys are more harmless [[pranksters]] than political [[activists]] .","it's like a "" big chill "" reunion of the [[baader-ｍeinhof]] gang , only these guys are more harmless [[prɑnksters]] than political [[partisans]] .",0.314092755317688,0.5533155202865601,0,1,0,64,Successful,1
"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the story [[gi]] [[ves]] ample [[opportun]] [[ity]] for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.2006807327270507,0.5265986919403076,2,1,2,46,Successful,1
"red [[dragon]] "" never cuts corners .","red [[loong]] "" never cuts corners .",0.2709840536117553,0.3841199874877929,1,1,1,20,Failed,1
fresnadillo has something [[serious]] to say about the ways in which extravagant chance can distort our perspective and [[throw]] us off the path of good sense .,fresnadillo has something [[seriouѕ]] to say about the ways in which extravagant chance can distort our perspective and [[trhow]] us off the path of good sense .,0.3062031269073486,0.5231578350067139,0,1,0,43,Successful,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[smarter]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.5732290148735046,2,1,2,24,Successful,1
weighty and ponderous but every bit as [[filling]] as the treat of the title .,weighty and ponderous but every bit as [[fill]] as the treat of the title .,0.4087082743644714,0.835512638092041,2,1,2,22,Successful,1
"a real [[audience-pleaser]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real [[audience-pⅼeaser]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.6668998003005981,2,1,2,37,Successful,1
generates an [[enormous]] feeling of empathy for its characters .,generates an [[enorｍous]] feeling of empathy for its characters .,0.2490707635879516,0.5853320360183716,2,1,2,22,Successful,1
exposing the ways we fool ourselves is one hour photo's real [[strength]] .,exposing the ways we fool ourselves is one hour photo's real [[vigor]] .,0.4008024334907532,0.5330778956413269,1,0,1,24,Successful,1
"it's up to you to decide whether to admire these [[people's]] dedication to their cause or be repelled by their dogmatism , [[manipulativeness]] and narrow , [[fearful]] view of american life .","it's up to you to decide whether to admire these [[peopl]] [[e's]] dedication to their cause or be repelled by their dogmatism , [[ｍanipulativeness]] and narrow , [[feaⲅful]] view of american life .",0.2260562181472778,0.5449008941650391,0,1,0,60,Successful,1
"mostly , [goldbacher] just lets her complicated characters be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , [[perplexing]] and , through it all , human .",0.4283322095870971,0.7712230086326599,0,1,0,26,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[gooԁ]] at providing some good old fashioned spooks .,0.2529594898223877,0.5629125833511353,2,1,2,18,Successful,1
"at its worst , the movie is pretty [[diverting]] ; the pity is that it [[rarely]] achieves its best .","at its worst , the movie is pretty [[ԁiverting]] ; the pity is that it [[occasionally]] achieves its best .",0.1802996397018432,0.6612977981567383,0,1,0,40,Successful,1
scherfig's [[light-hearted]] profile of emotional desperation is achingly honest and [[delightfully]] cheeky .,scherfig's [[light-hearteԁ]] profile of emotional desperation is achingly honest and [[deligհtfully]] cheeky .,0.2002955079078674,0.5367829203605652,2,1,2,46,Successful,1
"a journey spanning nearly three decades of bittersweet [[camaraderie]] and history , in which we feel that we truly know what [[makes]] holly and marina [[tick]] , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet [[camaradeⲅie]] and history , in which we feel that we truly know what [[maeks]] holly and marina [[ti]] [[ck]] , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",0.1952560544013977,0.5287637710571289,2,1,2,67,Successful,1
"the [[wonderfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .","the [[wonԁerfully]] lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",0.1556788086891174,0.5874704718589783,2,1,2,43,Successful,1
