original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly photographed in the manner of a [[golden]] [[book]] sprung to [[life]] , stuart little [[2]] manages [[sweetness]] largely without stickiness .","lovingly photographed in the manner of a [[prosperous]] [[Quran]] sprung to [[lifespan]] , stuart little [[deuce]] manages [[sugariness]] largely without stickiness .",0.0579158067703247,0.5660474300384521,0,1,0,157,Successful,1
consistently [[clever]] and suspenseful .,consistently [[cagey]] and suspenseful .,0.4191194772720337,0.8062343597412109,1,0,1,20,Successful,1
"it's [[like]] a "" [[big]] chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[pranksters]] than political activists .","it's [[ilk]] a "" [[enceinte]] chill "" reunion of the baader-meinhof gang , only these guys are more harmless [[tricker]] than political activists .",0.10572350025177,0.5306229591369629,1,0,1,133,Successful,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .","the [[report]] gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",0.3540736436843872,0.6768558621406555,0,1,0,121,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[box]] .",0.4227797389030456,0.7805701494216919,1,0,1,89,Successful,1
fresnadillo has something [[serious]] to say about the ways in which extravagant chance can distort our perspective and throw [[us]] off the path of good sense .,fresnadillo has something [[good]] to say about the ways in which extravagant chance can distort our perspective and throw [[America]] off the path of good sense .,0.1655482649803161,0.6503363847732544,0,1,0,171,Successful,1
throws in enough clever and unexpected twists to make the [[formula]] feel fresh .,throws in enough clever and unexpected twists to make the [[convention]] feel fresh .,0.1375078558921814,0.5294246673583984,0,1,0,180,Successful,1
[[weighty]] and ponderous but every bit as [[filling]] as the [[treat]] of the [[title]] .,[[rotund]] and ponderous but every bit as [[satiate]] as the [[kickshaw]] of the [[rubric]] .,0.1159074306488037,0.5506409406661987,0,1,0,106,Successful,1
"a real audience-pleaser that will [[strike]] a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real audience-pleaser that will [[assume]] a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.5827117562294006,0,1,0,138,Successful,1
[[generates]] an enormous [[feeling]] of empathy for its characters .,[[yield]] an enormous [[touch]] of empathy for its characters .,0.3065397143363952,0.6252037286758423,1,0,1,76,Successful,1
[[exposing]] the ways we fool ourselves is one hour photo's real strength .,[[discover]] the ways we fool ourselves is one hour photo's real strength .,0.4910795092582702,0.7913151979446411,1,0,1,111,Successful,1
"it's up to you to decide whether to admire these people's dedication to their [[cause]] or be [[repelled]] by their dogmatism , manipulativeness and [[narrow]] , [[fearful]] [[view]] of american [[life]] .","it's up to you to decide whether to admire these people's dedication to their [[causa]] or be [[repel]] by their dogmatism , manipulativeness and [[specialise]] , [[fearsome]] [[survey]] of american [[sprightliness]] .",0.1718589663505554,0.5149400234222412,0,1,0,187,Successful,1
"mostly , [goldbacher] just lets her [[complicated]] characters be [[unruly]] , confusing and , through it all , human .","mostly , [goldbacher] just lets her [[rarify]] characters be [[boisterous]] , confusing and , through it all , human .",0.2857111692428589,0.5238040685653687,0,1,0,80,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[unspoilt]] at providing some good old fashioned spooks .,0.0589194297790527,0.5073104500770569,1,0,1,141,Successful,1
"at its [[worst]] , the movie is pretty [[diverting]] ; the pity is that it rarely achieves its [[best]] .","at its [[regretful]] , the movie is pretty [[amusing]] ; the pity is that it rarely achieves its [[trump]] .",0.1411117315292358,0.5826318860054016,0,1,0,170,Successful,1
scherfig's light-hearted profile of emotional desperation is achingly [[honest]] and delightfully cheeky .,scherfig's light-hearted profile of emotional desperation is achingly [[dependable]] and delightfully cheeky .,0.4492461681365967,0.5850875973701477,1,0,1,32,Successful,1
"a journey spanning nearly three decades of [[bittersweet]] camaraderie and history , in which we feel that we truly know what [[makes]] holly and marina tick , and our [[hearts]] [[go]] out to them as both [[continue]] to negotiate their [[imperfect]] , love-hate relationship .","a journey spanning nearly three decades of [[semisweet]] camaraderie and history , in which we feel that we truly know what [[defecate]] holly and marina tick , and our [[affectionateness]] [[turn]] out to them as both [[cover]] to negotiate their [[progressive]] , love-hate relationship .",0.0575799345970153,0.6433254480361938,0,1,0,408,Successful,1
