original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly [[photographed]] in the [[manner]] of a golden book sprung to life , stuart little 2 manages [[sweetness]] [[largely]] without stickiness .","lovingly [[pictured]] in the [[fashion]] of a golden book sprung to life , stuart little 2 manages [[gentleness]] [[amply]] without stickiness .",0.0579158067703247,0.0991489291191101,0,0,0,15,Failed,1
consistently [[clever]] and suspenseful .,consistently [[smarts]] and suspenseful .,0.4191194772720337,0.7430152893066406,1,0,1,2,Successful,1
"it's like a "" [[big]] chill "" [[reunion]] of the baader-meinhof gang , only these [[guys]] are more harmless pranksters than political [[activists]] .","it's like a "" [[overwhelming]] chill "" [[grouping]] of the baader-meinhof gang , only these [[guy]] are more harmless pranksters than political [[activates]] .",0.10572350025177,0.2237389087677002,1,1,1,28,Failed,1
"the story gives ample opportunity for large-scale action and suspense , which [[director]] shekhar kapur supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale action and suspense , which [[superintendent]] shekhar kapur supplies with [[grand]] skill .",0.3540736436843872,0.5438383221626282,0,1,0,17,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[angles]] .",0.4227797389030456,0.5371947288513184,1,0,1,3,Successful,1
fresnadillo has something [[serious]] to say about the ways in which [[extravagant]] chance can distort our [[perspective]] and throw us off the path of good [[sense]] .,fresnadillo has something [[severe]] to say about the ways in which [[flamboyant]] chance can distort our [[views]] and throw us off the path of good [[sensing]] .,0.1655482649803161,0.4050869941711426,0,0,0,15,Failed,1
throws in enough [[clever]] and unexpected [[twists]] to make the [[formula]] feel fresh .,throws in enough [[smart]] and unexpected [[kinks]] to make the [[formulas]] feel fresh .,0.1375078558921814,0.3087018728256225,0,0,0,6,Failed,1
[[weighty]] and ponderous but every bit as [[filling]] as the [[treat]] of the title .,[[hefty]] and ponderous but every bit as [[filler]] as the [[treatment]] of the title .,0.1159074306488037,0.2536011338233948,0,0,0,8,Failed,1
"a [[real]] audience-pleaser that will [[strike]] a chord with [[anyone]] who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[veritable]] audience-pleaser that will [[hit]] a chord with [[everybody]] who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.6213902235031128,0,1,0,16,Successful,1
generates an [[enormous]] feeling of [[empathy]] for its characters .,generates an [[vast]] feeling of [[compassionate]] for its characters .,0.3065397143363952,0.5216777324676514,1,0,1,15,Successful,1
