original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book [[sprung]] to life , stuart little 2 manages sweetness [[largely]] [[without]] stickiness .","[[beautifully]] photographed in the manner of a golden book [[sent]] to life , stuart little 2 manages sweetness [[much]] [[about]] stickiness .",0.0579158067703247,0.3414537906646728,0,0,0,65,Failed,1
consistently [[clever]] and suspenseful .,consistently [[tense]] and suspenseful .,0.4191194772720337,0.8135288953781128,1,0,1,20,Successful,1
"it's [[like]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political [[activists]] .","it's [[in]] a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political [[partisans]] .",0.10572350025177,0.3151078820228576,1,1,1,21,Failed,1
"the [[story]] gives ample opportunity for large-scale action and suspense , which director [[shekhar]] kapur supplies with tremendous skill .","the [[plot]] gives ample opportunity for large-scale action and suspense , which director [[babu]] kapur supplies with tremendous skill .",0.3540736436843872,0.5484585762023926,0,1,0,46,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[clean]] .",0.4227797389030456,0.8173270225524902,1,0,1,27,Successful,1
fresnadillo has something serious to say about the ways in which extravagant chance can [[distort]] our perspective and throw us off the [[path]] of good sense .,fresnadillo has something serious to say about the ways in which extravagant chance can [[disrupt]] our perspective and throw us off the [[brink]] of good sense .,0.1655482649803161,0.2293350100517273,0,0,0,39,Failed,1
throws in [[enough]] clever and unexpected twists to make the formula feel fresh .,throws in [[such]] clever and unexpected twists to make the formula feel fresh .,0.1375078558921814,0.7622698545455933,0,1,0,27,Successful,1
[[weighty]] and [[ponderous]] but every [[bit]] as filling as the treat of the title .,[[cool]] and [[rich]] but every [[time]] as filling as the treat of the title .,0.1159074306488037,0.530302882194519,0,1,0,88,Successful,1
"a [[real]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[complete]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3140015602111816,0.584052562713623,0,1,0,44,Successful,1
generates an enormous feeling of [[empathy]] for its characters .,generates an enormous feeling of [[loss]] for its characters .,0.3065397143363952,0.6833280324935913,1,0,1,55,Successful,1
