original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[closely]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.2581969499588012,0.5822954177856445,2,1,2,22,Successful,1
consistently [[clever]] and suspenseful .,consistently [[tense]] and suspenseful .,0.3045980334281921,0.948255717754364,2,1,2,20,Successful,1
"it's like a "" big chill "" reunion of the [[baader-meinhof]] gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the [[whole]] gang , only these guys are more harmless pranksters than political activists .",0.314092755317688,0.4264439940452575,0,0,0,15,Failed,1
"the story [[gives]] ample [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the story [[becomes]] ample [[occasion]] for large-scale action and suspense , which director shekhar kapur supplies with [[much]] skill .",0.2006807327270507,0.5747313499450684,2,1,2,83,Successful,1
"red [[dragon]] "" never cuts [[corners]] .","red [[line]] "" never cuts [[straight]] .",0.2709840536117553,0.6187750101089478,1,0,1,58,Successful,1
fresnadillo has [[something]] serious to say about the ways in which extravagant chance can distort our perspective and [[throw]] [[us]] off the path of good sense .,fresnadillo has [[anything]] serious to say about the ways in which extravagant chance can distort our perspective and [[take]] [[our]] off the path of good sense .,0.3062031269073486,0.3803569078445434,0,0,0,25,Failed,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[flaws]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.8787901997566223,2,1,2,59,Successful,1
weighty and ponderous but [[every]] bit as [[filling]] as the treat of the title .,weighty and ponderous but [[no]] bit as [[tender]] as the treat of the title .,0.4087082743644714,0.8692415952682495,2,1,2,26,Successful,1
"a real [[audience-pleaser]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a real [[hit]] that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.7467077374458313,2,1,2,24,Successful,1
generates an [[enormous]] feeling of empathy for its characters .,generates an [[odd]] feeling of empathy for its characters .,0.2490707635879516,0.893645703792572,2,1,2,50,Successful,1
