original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
@[[user]] @[[user]] what do these '1/2 naked [[pics']] have to do with [[anything]]? [[They're]] not [[even]] [[like]] that.,@[[Iser]] @[[uRer]] what do these '1/2 naked [[pisc']] have to do with [[anytihng]]? [[They'ire]] not [[eveO]] [[lie]] that.,0.0117120146751403,0.2257843017578125,0,0,0,43,Failed,1
[[OH]]: “I had a [[blue]] [[penis]] while I was this” [playing with [[Google]] [[Earth]] [[VR]]],[[HO]]: “I had a [[mblue]] [[enis]] while I was this” [playing with [[Googlne]] [[Eacth]] [[VIR]]],0.0702991485595703,0.2389365434646606,0,0,0,38,Failed,1
"@[[user]] @[[user]] That's [[coming]], but I [[think]] the [[victims]] are going to be Medicaid [[recipients]].","@[[ukser]] @[[uCer]] That's [[comig]], but I [[tihnk]] the [[vWictims]] are going to be Medicaid [[recipientj]].",0.0884429812431335,0.2579365968704223,0,0,0,47,Failed,1
I think I may be [[finally]] in with the in crowd #mannequinchallenge  #grads2014 @user,I think I may be [[finall]] in with the in crowd #mannequinchallenge  #grads2014 @user,0.0975075960159301,0.5737244486808777,1,0,1,13,Successful,2
"@user Wow,first [[Hugo]] Chavez and now Fidel [[Castro]]. [[Danny]] [[Glover]], [[Michael]] [[Moore]], [[Oliver]] [[Stone]], and [[Sean]] [[Penn]] are [[running]] out of [[heroes]].","@user Wow,first [[Hugfo]] Chavez and now Fidel [[Zastro]]. [[DaDnny]] [[Gloer]], [[Micael]] [[MoorO]], [[Olivem]] [[Stoe]], and [[ean]] [[enn]] are [[runninog]] out of [[heDroes]].",0.0274325609207153,0.6826086640357971,0,1,0,85,Successful,0
[[Savchenko]] now [[Saakashvili]] [[took]] [[drug]] [[test]] live on [[Ukraine]] [[TV]]. To [[prove]] they are not drug-fueled [[loonies]]?,[[Savchnko]] now [[SaakashvOili]] [[tQok]] [[dru]] [[tkst]] live on [[Ukrakne]] [[TRV]]. To [[provk]] they are not drug-fueled [[olonies]]?,0.1270489692687988,0.603258490562439,0,1,0,56,Successful,1
How [[many]] more days until opening [[day]]? 😩,How [[man]] more days until opening [[Oay]]? 😩,0.032501995563507,0.1036109328269958,0,0,0,26,Failed,1
Twitter's #[[ThankYouObama]] Shows [[Heartfelt]] Gratitude [[To]] POTUS,Twitter's #[[ZThankYouObama]] Shows [[Haertfelt]] Gratitude [[o]] POTUS,0.1694070100784301,0.6915000677108765,1,0,1,20,Successful,2
All [[CSG]] and [[Fracking]] all around [[Australia]] is to cease and [[Mining]] [[Entities]] [[held]] Accountable! - Sign the [[Petition]]!,All [[CSF]] and [[Fricking]] all around [[Australa]] is to cease and [[Minng]] [[Entitie]] [[hedl]] Accountable! - Sign the [[Petitino]]!,0.4073339104652405,0.5277386903762817,0,1,0,52,Successful,1
@[[user]] @user @user @user @user @[[user]] take away illegals and dead [[people]] and [[Trump]] wins popular vote too.,@[[usOer]] @user @user @user @user @[[usre]] take away illegals and dead [[peoFple]] and [[TruBp]] wins popular vote too.,0.092403769493103,0.5251764059066772,0,1,0,47,Successful,0
An [[interesting]] security vulnerability - albeit not for the everyday car thief,An [[interesRing]] security vulnerability - albeit not for the everyday car thief,0.4455565214157104,0.725326418876648,1,0,1,13,Successful,1
#GilmoreGirlsTop4 1. [[Spoke2]]. Paris3. Emily4. [[PattyInvisible]] [[number]] 5. [[Richard]],#GilmoreGirlsTop4 1. [[Spoek2]]. Paris3. Emily4. [[PattyInivsible]] [[nuber]] 5. [[Richqard]],0.1941316127777099,0.5200129747390747,0,1,0,26,Successful,1
#onedirection #harrystyles [[cute]] little dance 😉,#onedirection #harrystyles [[cutJ]] little dance 😉,0.3785660862922668,0.922631561756134,1,0,1,10,Successful,2
"When [[Ryan]] [[privatizes]] SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!","When [[Ryah]] [[privaRizes]] SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",0.3157737255096435,0.5788422226905823,0,1,0,25,Successful,0
[[Swampbitch]] [[Nasty]] [[Pelosi]]  loves [[yelling]] 'Fire' in the crowded swamp. #[[blackfriday]] @[[user]],[[Swmapbitch]] [[Nasyt]] [[relosi]]  loves [[yeWlling]] 'Fire' in the crowded swamp. #[[blackfrWday]] @[[usear]],0.0361226797103881,0.4279374480247497,0,0,0,51,Failed,0
@[[user]] [[ohhh]] [[ok]] i see 🤔 what if u have [[medical]] [[marijuana]] [[clearance]]? [[Does]] that [[make]] a difference,@[[usetr]] [[ohGhh]] [[k]] i see 🤔 what if u have [[mdeical]] [[majijuana]] [[celarance]]? [[oDes]] that [[mae]] a difference,0.034151554107666,0.1822839975357055,0,0,0,51,Failed,1
[[OPINION]]: The Anti-#[[Trump]] #[[Riots]] [[Are]] a #[[SmokeScreen]]:,[[ePINION]]: The Anti-#[[fTrump]] #[[RiotZ]] [[rAe]] a #[[SmokeScrene]]:,0.0684395432472229,0.4821119904518127,0,0,0,36,Failed,1
ISIS and The CIA What You Need To [[Know]]! #ISIS #falseflag #saudi #CIA #mossad #israel,ISIS and The CIA What You Need To [[nKow]]! #ISIS #falseflag #saudi #CIA #mossad #israel,0.4439724683761596,0.728178858757019,1,0,1,19,Successful,1
@user [[alt-right]] was [[adopted]] by [[Deplorables]]. Average middle [[Americans]].  [[I've]] now [[moved]] to [[Libertarian]]. @user,@user [[atl-right]] was [[adoptekd]] by [[Deporables]]. Average middle [[Amercans]].  [[I'vM]] now [[mQoved]] to [[Liberatrian]]. @user,0.0507248044013977,0.15346759557724,0,0,0,56,Failed,1
"@[[user]] #GilmoreGirlsTop4 [[Lorelai]], [[Rory]], [[Lane]], [[Sookie]] @[[user]] @[[user]]","@[[uesr]] #GilmoreGirlsTop4 [[Lopelai]], [[Roy]], [[Lanve]], [[Sookei]] @[[uesr]] @[[usre]]",0.1891475319862365,0.5462225675582886,0,1,0,37,Successful,1
"[[Christians]] In Palestine: Yes, They Exist #gaza #palestine #israel #BDS","[[ChristianOs]] In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",0.3232077956199646,0.6052741408348083,1,0,1,15,Successful,1
"@user [[Going]] to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.","@user [[Goind]] to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",0.321599543094635,0.5937367081642151,0,1,0,17,Successful,2
Listen to win passes to see #FantasticBeasts after [[2pm]] w/ @[[user]],Listen to win passes to see #FantasticBeasts after [[2pe]] w/ @[[usre]],0.4544165730476379,0.5832019448280334,0,1,0,17,Successful,1
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #[[newyorkcity]]…,The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #[[newyorkpcity]]…,0.2508742213249206,0.5279325246810913,1,0,1,16,Successful,1
Zac Efron Flaunts Fit Abs in [[New]] ‘[[Dirty]] Grandpa’... #ZacEfron,Zac Efron Flaunts Fit Abs in [[QNew]] ‘[[Dirnty]] Grandpa’... #ZacEfron,0.2375104427337646,0.5628468990325928,0,1,0,18,Successful,1
[[1am]] and I'm still watching #ThisIsUs,[[am]] and I'm still watching #ThisIsUs,0.1806368231773376,0.7323871850967407,0,1,0,10,Successful,1
The left has really gone Full [[retard]] haven't they?,The left has really gone Full [[retaKrd]] haven't they?,0.0264476537704467,0.520969808101654,0,1,0,11,Successful,0
"#Israel fire updates: Major blaze breaks out near #[[Jerusalem]], firebombing [[suspected]]...","#Israel fire updates: Major blaze breaks out near #[[Jerusalegm]], firebombing [[uspected]]...",0.195596158504486,0.2982679009437561,0,0,0,51,Failed,1
"RT @[[user]] [[Can]] I [[politely]] [[suggest]] that we all [[stop]] [[using]] the [[term]] ""alt-right"" and [[use]] other, more [[precise]] [[words]].","RT @[[usger]] [[an]] I [[pgolitely]] [[suggezst]] that we all [[stoC]] [[uesing]] the [[tprm]] ""alt-right"" and [[us]] other, more [[lprecise]] [[owrds]].",0.0446504950523376,0.5957763195037842,0,1,0,58,Successful,1
[[Day]] 5 Advent [[Gift]] [[Countdown]] - '[[Gold]] [[Standard']]  #[[20moresleeps]] #[[christmasgifts]] #[[luxuryhampers]]…,[[Da]] 5 Advent [[Gifgt]] [[Countown]] - '[[zold]] [[Stnadard']]  #[[20moresleps]] #[[christmasygifts]] #[[luxuryhampArs]]…,0.0999616980552673,0.4381620287895202,0,0,0,46,Failed,1
[[When]] Jesse [[Jackson]] [[Cozied]] Up to Fidel [[Castro]],[[WheUn]] Jesse [[Jacskon]] [[Coziad]] Up to Fidel [[astro]],0.1983094811439514,0.5078688263893127,0,1,0,28,Successful,1
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the [[sun]],Ben Carson awoke this morning to find out that the big yellow thing in the sky is the [[snu]],0.3211666941642761,0.9322633743286132,1,0,1,15,Successful,1
[[Bike]] [[parking]] [[still]] free.,[[BiQe]] [[pakring]] [[stisll]] free.,0.2072022557258606,0.5439171195030212,0,1,0,16,Successful,1
[[Can't]] wait to try this - Google Earth VR - this stuff really is the [[future]] of exploration....,[[Cant']] wait to try this - Google Earth VR - this stuff really is the [[futre]] of exploration....,0.0396057367324829,0.975325345993042,1,0,1,19,Successful,2
@[[user]] @[[user]] [[Trump]] is likely [[supporting]] Putin [[talking]] on [[unsecured]] [[phone]] [[lines]] [[bc]] [[Trump's]] [[tied]] to [[Russia]] #[[DworkinReport]],@[[suer]] @[[uesr]] [[NTrump]] is likely [[supportig]] Putin [[talkng]] on [[unseucred]] [[phoHne]] [[ines]] [[Lc]] [[Trupmp's]] [[tiepd]] to [[RusAsia]] #[[DowrkinReport]],0.0360386967658996,0.2743142247200012,0,0,0,76,Failed,1
"[[The]] [[fact]] that mike pence thinks there's a ""cure"" for being gay is [[absolutely]] the most [[ridiculous]] [[statement]] I have [[ever]] heard in my [[life]]","[[Thqe]] [[afct]] that mike pence thinks there's a ""cure"" for being gay is [[absoluteqly]] the most [[riidculous]] [[tatement]] I have [[eveQr]] heard in my [[liKe]]",0.0323182344436645,0.6110341548919678,0,1,0,44,Successful,0
@user @user @user .....Good [[Old]] Graham Westley!!,@user @user @user .....Good [[POld]] Graham Westley!!,0.2456349730491638,0.6064882278442383,0,1,0,12,Successful,2
Photos: A Thanksgiving protest against Dakota Access pipeline - [[The]] Boston [[Globe]],Photos: A Thanksgiving protest against Dakota Access pipeline - [[Te]] Boston [[Glote]],0.3557777404785156,0.5287377238273621,0,1,0,19,Successful,1
@user @[[user]] @[[user]] @[[user]] Clinton foundation reminds me of Maharashtra [[CM]] Antuley's foundation in 80s for [[taking]] [[bribe]].,@user @[[uiser]] @[[Kser]] @[[Iuser]] Clinton foundation reminds me of Maharashtra [[MC]] Antuley's foundation in 80s for [[taknng]] [[rbibe]].,0.035546064376831,0.5677530765533447,0,1,0,38,Successful,0
Survey shows Poroshenko has [[lost]] considerable electoral support in two years,Survey shows Poroshenko has [[lots]] considerable electoral support in two years,0.0270407795906066,0.8169382214546204,0,1,0,14,Successful,1
When Trump [[jeopardizes]] their [[social]] security and [[Medicare]] [[payments]] imma laugh.,When Trump [[jeopZardizes]] their [[socal]] security and [[MeHdicare]] [[paymenst]] imma laugh.,0.2215098738670349,0.7383201718330383,0,1,0,37,Successful,0
At Any Price review – [[generations]] [[clash]] in the American midwest #ZacEfron,At Any Price review – [[gneerations]] [[clsh]] in the American midwest #ZacEfron,0.1392626762390136,0.7809708118438721,1,0,1,18,Successful,1
Next?#[[draintheswamp]] #TimeForChange#TrumpTransitionTeam,Next?#[[draintheiwamp]] #TimeForChange#TrumpTransitionTeam,0.4769816994667053,0.5004974603652954,0,1,0,9,Successful,1
[[Wow]] - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. [[Good]] news I supp…,[[Wwo]] - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. [[Gooh]] news I supp…,0.032952606678009,0.538733959197998,1,0,1,23,Successful,2
"So that Westworld show, it isn't too bad. I guess. [[If]] you like that sort of thing.","So that Westworld show, it isn't too bad. I guess. [[fI]] you like that sort of thing.",0.4656485319137573,0.5514866709709167,0,1,0,15,Successful,1
Grayson Allen just gave dude such a sick [[move]],Grayson Allen just gave dude such a sick [[msve]],0.4298552274703979,0.918810486793518,1,0,1,11,Successful,0
"[[Download]] UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria","[[Downloan]] UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",0.3784946799278259,0.57169109582901,1,0,1,19,Successful,1
I [[love]] Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,I [[lvoe]] Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,0.3532741665840149,0.8662704229354858,1,0,1,16,Successful,2
[[RT]] @[[user]] [[It]]’s not “[[alt-right]].” [[It]]’s [[Neo-Nazi]].https://t.co/[[4fPkSVlSDl]],[[TR]] @[[usqr]] [[I]]’s not “[[ala-right]].” [[I]]’s [[Neo-Nqazi]].https://t.co/[[4fkPSVlSDl]],0.0867717266082763,0.2373746037483215,0,0,0,46,Failed,0
@[[user]] [[In]] [[august2008]].[[puppet]] Saakashvili [[attacked]] [[South]] [[Ossetia]] and Russian [[peacekeepers]].South Ossetia will  be i…,@[[kser]] [[jIn]] [[august208]].[[pupet]] Saakashvili [[attacCed]] [[Suoth]] [[Osetia]] and Russian [[peacekeepres]].South Ossetia will  be i…,0.1472754478454589,0.6007490158081055,0,1,0,44,Successful,0
[[Tips]] for [[winter]] [[driving]].#[[london]] #[[cab]] #[[taxi]] #uber #[[yellowlondontaxi]],[[Twips]] for [[wintre]] [[driing]].#[[lowndon]] #[[ca]] #[[txai]] #uber #[[yellowilondontaxi]],0.0795408487319946,0.2414433360099792,0,0,0,41,Failed,1
"@user Yes, white supremacists are America's greatest problem ever.  OMG.  [[GET]] REAL.  #GOAWAY","@user Yes, white supremacists are America's greatest problem ever.  OMG.  [[ET]] REAL.  #GOAWAY",0.3309272527694702,0.5051735639572144,0,1,0,17,Successful,0
#[[Hatchimals]] are [[shite]],#[[Htchimals]] are [[Ahite]],0.0113665461540222,0.2000182867050171,0,0,0,11,Failed,0
@[[user]] @[[user]] @[[user]] @[[user]] @[[user]] @[[user]] [[I'm]] [[getting]] [[tired]] of these [[people]] and their gun control,@[[uvser]] @[[usZr]] @[[usre]] @[[uspr]] @[[use]] @[[usre]] [[Im]] [[etting]] [[tirked]] of these [[peopel]] and their gun control,0.0235868096351623,0.1980322003364563,0,0,0,60,Failed,0
#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse [[Code]]: BLACKFRISAVE#DrainTheSwamp #Deplorables…,#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse [[oCde]]: BLACKFRISAVE#DrainTheSwamp #Deplorables…,0.3930190801620483,0.5151630640029907,0,1,0,16,Successful,1
