original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .","[[fondly]] photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",0.2581969499588012,0.5314763784408569,2,1,2,112,Successful,1
consistently [[clever]] and suspenseful .,consistently [[cagey]] and suspenseful .,0.3045980334281921,0.9587491750717164,2,1,2,20,Successful,1
"it's [[like]] a "" big [[chill]] "" reunion of the baader-meinhof gang , only these [[guys]] are more harmless pranksters than political activists .","it's [[wish]] a "" big [[cool]] "" reunion of the baader-meinhof gang , only these [[roast]] are more harmless pranksters than political activists .",0.314092755317688,0.6171862483024597,0,1,0,115,Successful,1
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[terrible]] skill .",0.2006807327270507,0.7285605669021606,2,1,2,121,Successful,1
"[[red]] dragon "" never cuts [[corners]] .","[[red-faced]] dragon "" never cuts [[recession]] .",0.2709840536117553,0.7309376001358032,1,0,1,111,Successful,1
fresnadillo has something [[serious]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo has something [[good]] to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,0.3062031269073486,0.6830744743347168,0,1,0,164,Successful,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[cagey]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.7773584723472595,2,1,2,180,Successful,1
weighty and ponderous but every bit as [[filling]] as the treat of the title .,weighty and ponderous but every bit as [[weft]] as the treat of the title .,0.4087082743644714,0.895306408405304,2,1,2,81,Successful,1
"a [[real]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[rattling]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.6356785297393799,2,1,2,127,Successful,1
generates an enormous [[feeling]] of empathy for its characters .,generates an enormous [[opinion]] of empathy for its characters .,0.2490707635879516,0.6783940196037292,2,1,2,65,Successful,1
exposing the ways we fool ourselves is one hour photo's [[real]] strength .,exposing the ways we fool ourselves is one hour photo's [[rattling]] strength .,0.4008024334907532,0.6182138919830322,1,0,1,107,Successful,1
"it's up to you to decide whether to admire these people's dedication to their [[cause]] or be [[repelled]] by their dogmatism , manipulativeness and narrow , [[fearful]] view of american [[life]] .","it's up to you to decide whether to admire these people's dedication to their [[movement]] or be [[rebuff]] by their dogmatism , manipulativeness and narrow , [[timorous]] view of american [[sprightliness]] .",0.2260562181472778,0.5430908203125,0,1,0,153,Successful,1
"mostly , [goldbacher] just lets her complicated characters be unruly , [[confusing]] and , through it all , human .","mostly , [goldbacher] just lets her complicated characters be unruly , [[flurry]] and , through it all , human .",0.4283322095870971,0.8813416957855225,0,1,0,83,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[skilful]] at providing some good old fashioned spooks .,0.2529594898223877,0.9616989493370056,2,0,2,141,Successful,1
"at its [[worst]] , the movie is pretty [[diverting]] ; the pity is that it rarely achieves its best .","at its [[risky]] , the movie is pretty [[amusing]] ; the pity is that it rarely achieves its best .",0.1802996397018432,0.833469808101654,0,2,0,120,Successful,1
