original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly photographed in the manner of a [[golden]] book sprung to life , stuart [[little]] 2 manages [[sweetness]] largely without stickiness .","lovingly photographed in the manner of a [[favourable]] book sprung to life , stuart [[fiddling]] 2 manages [[redolence]] largely without stickiness .",0.0024625062942504,0.8190599679946899,1,0,1,156,Successful,1
[[consistently]] [[clever]] and [[suspenseful]] .,[[systematically]] [[cagy]] and [[cliff-hanging]] .,0.0042428374290466,0.7568824887275696,1,0,1,24,Successful,1
"it's like a "" [[big]] chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .","it's like a "" [[great]] chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",0.4550087451934814,0.9197328090667723,0,1,0,120,Successful,1
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[awful]] skill .",0.0018839836120605,0.997323513031006,1,0,1,121,Successful,1
"red dragon "" never [[cuts]] corners .","red dragon "" never [[track]] corners .",0.1297609806060791,0.9480075240135192,1,0,1,121,Successful,1
fresnadillo has something [[serious]] to [[say]] about the [[ways]] in which extravagant chance can distort our perspective and throw us off the path of good sense .,fresnadillo has something [[unplayful]] to [[order]] about the [[style]] in which extravagant chance can distort our perspective and throw us off the path of good sense .,0.0275726914405822,0.5946030616760254,1,0,1,188,Successful,1
throws in enough clever and unexpected twists to [[make]] the formula feel fresh .,throws in enough clever and unexpected twists to [[crap]] the formula feel fresh .,0.0062759518623352,0.9601576328277588,1,0,1,200,Successful,1
weighty and ponderous but every [[bit]] as filling as the [[treat]] of the title .,weighty and ponderous but every [[flake]] as filling as the [[address]] of the title .,0.0086061358451843,0.9709415435791016,1,0,1,99,Successful,1
"a [[real]] audience-pleaser that will [[strike]] a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[existent]] audience-pleaser that will [[expunge]] a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.0018158555030822,0.908232569694519,1,0,1,149,Successful,1
exposing the ways we fool ourselves is one hour photo's [[real]] [[strength]] .,exposing the ways we fool ourselves is one hour photo's [[material]] [[effectiveness]] .,0.0046942830085754,0.7135787010192871,1,0,1,121,Successful,1
