original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"[[lovingly]] photographed in the manner of a golden book [[sprung]] to life , stuart little 2 manages sweetness largely [[without]] stickiness .","[[heavily]] photographed in the manner of a golden book [[devoted]] to life , stuart little 2 manages sweetness largely [[into]] stickiness .",0.0024625062942504,0.3533912301063537,1,1,1,59,Failed,1
[[consistently]] [[clever]] and [[suspenseful]] .,[[too]] [[handsome]] and [[athletic]] .,0.0042428374290466,0.976296842098236,1,0,1,69,Successful,1
"it's like a "" big chill "" reunion of the [[baader-meinhof]] gang , only these guys are more harmless pranksters than political activists .","it's like a "" big chill "" reunion of the [[whole]] gang , only these guys are more harmless pranksters than political activists .",0.4550087451934814,0.8211658000946045,0,1,0,15,Successful,1
"the [[story]] [[gives]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the [[plot]] [[afforded]] ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with [[professional]] skill .",0.0018839836120605,0.0107395648956298,1,1,1,61,Failed,1
fresnadillo has something serious to [[say]] about the [[ways]] in which extravagant chance can [[distort]] our perspective and throw us off the [[path]] of good sense .,fresnadillo has something serious to [[saying]] about the [[manner]] in which extravagant chance can [[distorted]] our perspective and throw us off the [[face]] of good sense .,0.0275726914405822,0.220500111579895,1,1,1,36,Failed,1
throws in enough clever and unexpected twists to [[make]] the formula feel fresh .,throws in enough clever and unexpected twists to [[kill]] the formula feel fresh .,0.0062759518623352,0.959123969078064,1,0,1,56,Successful,1
weighty and ponderous but [[every]] bit as filling as the [[treat]] of the title .,weighty and ponderous but [[no]] bit as filling as the [[mention]] of the title .,0.0086061358451843,0.9531680345535278,1,0,1,67,Successful,1
"red dragon "" [[never]] cuts corners .","red dragon "" [[again]] cuts corners .",0.1297609806060791,0.982641577720642,1,0,1,37,Successful,1
generates an [[enormous]] feeling of empathy for its [[characters]] .,generates an [[unnatural]] feeling of empathy for its [[prey]] .,0.0021449923515319,0.9550840854644777,1,0,1,101,Successful,1
"a [[real]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's [[office]] , emergency room , hospital bed or insurance company office .","a [[willing]] audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's [[scrub]] , emergency room , hospital bed or insurance company office .",0.0018158555030822,0.0983629822731018,1,1,1,83,Failed,1
[[exposing]] the ways we fool ourselves is one hour [[photo's]] [[real]] strength .,[[studying]] the ways we fool ourselves is one hour [[beneath]] [[such]] strength .,0.0046942830085754,0.9565448760986328,1,0,1,60,Successful,1
"it's up to you to decide whether to admire these people's [[dedication]] to their cause or be repelled by their dogmatism , [[manipulativeness]] and narrow , fearful view of american life .","it's up to you to decide whether to admire these people's [[committed]] to their cause or be repelled by their dogmatism , [[beliefs]] and narrow , fearful view of american life .",0.1094937324523925,0.6415336728096008,0,1,0,30,Successful,1
. . . quite [[good]] at providing some good old fashioned spooks .,. . . quite [[bad]] at providing some good old fashioned spooks .,0.0510798096656799,0.9883812665939332,1,0,1,33,Successful,1
"mostly , [goldbacher] just lets her complicated [[characters]] be unruly , confusing and , through it all , human .","mostly , [goldbacher] just lets her complicated [[character]] be unruly , confusing and , through it all , human .",0.0470633506774902,0.0807113647460937,1,1,1,10,Failed,1
