original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,ground_truth_output_target
"lovingly [[photographed]] in the [[manner]] of a golden book sprung to life , stuart little 2 [[manages]] sweetness [[largely]] without stickiness .","lovingly [[photographing]] in the [[method]] of a golden book sprung to life , stuart little 2 [[administer]] sweetness [[principally]] without stickiness .",0.2581969499588012,0.4839249849319458,2,2,2,27,Failed,1
consistently [[clever]] and suspenseful .,consistently [[smarts]] and suspenseful .,0.3045980334281921,0.5914850234985352,2,1,2,2,Successful,1
"it's like a "" big chill "" [[reunion]] of the baader-meinhof gang , only these guys are more [[harmless]] pranksters than [[political]] [[activists]] .","it's like a "" big chill "" [[regrouping]] of the baader-meinhof gang , only these guys are more [[benign]] pranksters than [[politician]] [[partisans]] .",0.314092755317688,0.559340238571167,0,1,0,14,Successful,1
"the story gives [[ample]] [[opportunity]] for large-scale action and suspense , which director shekhar kapur supplies with [[tremendous]] skill .","the story gives [[plentiful]] [[likelihood]] for large-scale action and suspense , which director shekhar kapur supplies with [[dramatic]] skill .",0.2006807327270507,0.5806982517242432,2,1,2,24,Successful,1
"red dragon "" never cuts [[corners]] .","red dragon "" never cuts [[angles]] .",0.2709840536117553,0.3180506229400635,1,1,1,6,Failed,1
fresnadillo has [[something]] serious to say about the ways in which [[extravagant]] chance can [[distort]] our perspective and throw us off the [[path]] of good sense .,fresnadillo has [[anything]] serious to say about the ways in which [[outlandish]] chance can [[deform]] our perspective and throw us off the [[route]] of good sense .,0.3062031269073486,0.3755112290382385,0,0,0,18,Failed,1
throws in enough [[clever]] and unexpected twists to make the formula feel fresh .,throws in enough [[smarts]] and unexpected twists to make the formula feel fresh .,0.3800560235977173,0.617281436920166,2,1,2,15,Successful,1
weighty and ponderous but every bit as [[filling]] as the treat of the title .,weighty and ponderous but every bit as [[filler]] as the treat of the title .,0.4087082743644714,0.9479056000709534,2,0,2,2,Successful,1
"a [[real]] audience-pleaser that will [[strike]] a chord with [[anyone]] who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .","a [[actual]] audience-pleaser that will [[hitting]] a chord with [[anybody]] who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",0.3536208271980285,0.5206173658370972,2,1,2,21,Successful,1
generates an [[enormous]] feeling of [[empathy]] for its characters .,generates an [[vast]] feeling of [[sympathy]] for its characters .,0.2490707635879516,0.5718830823898315,2,1,2,21,Successful,1
